algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,a9fa0d64,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,8095.443333333334,5990.256666666667,,,25129,25129,a9fa0d64,2,0.24666666666666667,penalized,5,25129,25129,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,23300.983333333334,19627.493333333332,,,26478,26478,a9fa0d64,2,0.7633333333333333,penalized,10,26478,26478,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,24350.98,20061.863333333335,,,27178,27178,a9fa0d64,2,0.75,penalized,15,27178,27178,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,25829.326666666668,22601.14,,,27461,27461,a9fa0d64,2,0.8266666666666667,penalized,20,27461,27461,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26856.326666666668,25054.993333333332,,,27461,27461,a9fa0d64,2,0.9133333333333333,penalized,25,27461,27461,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26941.703333333335,25345.196666666667,,,27461,27461,a9fa0d64,2,0.9233333333333333,penalized,30,27461,27461,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26810.793333333335,24796.076666666668,,,27461,27461,a9fa0d64,2,0.9033333333333333,penalized,35,27461,27461,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,27119.45,25531.843333333334,,,27461,27461,a9fa0d64,2,0.93,penalized,40,27461,27461,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26949.796666666665,25151.52666666667,,,27461,27461,a9fa0d64,2,0.9166666666666666,penalized,45,27461,27461,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26959.376666666667,25154.64,,,27461,27461,a9fa0d64,2,0.9166666666666666,penalized,50,27461,27461,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26774.33,24620.803333333333,,,27461,27461,a9fa0d64,2,0.8966666666666666,penalized,55,27461,27461,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26993.47333333333,25070.56,,,27461,27461,a9fa0d64,2,0.9133333333333333,penalized,60,27461,27461,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,27101.82,25887.77,,,27461,27461,a9fa0d64,2,0.9433333333333334,penalized,65,27461,27461,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26774.956666666665,24695.433333333334,,,27461,27461,a9fa0d64,2,0.9,penalized,70,27461,27461,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26855.503333333334,25154.33,,,27461,27461,a9fa0d64,2,0.9166666666666666,penalized,75,27461,27461,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A000_rtr0.10_pm0.10_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
