algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,1115.5333333333333,992.6333333333333,,,24207,24207,cf291ff6,2,0.056666666666666664,penalized,0,24207,24207,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,794.4766666666667,670.7833333333333,,,24782,24782,cf291ff6,2,0.03,penalized,5,24782,24782,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,6011.973333333333,4240.216666666666,,,25432,25432,cf291ff6,2,0.17,penalized,10,25432,25432,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,20785.606666666667,14761.633333333333,,,26440,26440,cf291ff6,2,0.5733333333333334,penalized,15,26440,26440,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,23191.24,17870.826666666668,,,27581,27581,cf291ff6,2,0.6666666666666666,penalized,20,27581,27581,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,24888.576666666668,20046.806666666667,,,27932,27932,cf291ff6,2,0.7266666666666667,penalized,25,27932,27932,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26718.7,23844.683333333334,,,28232,28232,cf291ff6,2,0.8533333333333334,penalized,30,28232,28232,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27646.68,25648.01,,,28232,28232,cf291ff6,2,0.91,penalized,35,28232,28232,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27659.04,25872.673333333332,,,28232,28232,cf291ff6,2,0.9166666666666666,penalized,40,28232,28232,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27719.413333333334,26410.31333333333,,,28232,28232,cf291ff6,2,0.9366666666666666,penalized,45,28232,28232,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27673.75,25670.036666666667,,,28232,28232,cf291ff6,2,0.91,penalized,50,28232,28232,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27672.006666666668,25748.423333333332,,,28232,28232,cf291ff6,2,0.9133333333333333,penalized,55,28232,28232,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26826.866666666665,23629.85,,,28507,28507,cf291ff6,2,0.8333333333333334,penalized,60,28507,28507,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,28059.68,26307.306666666667,,,28507,28507,cf291ff6,2,0.9233333333333333,penalized,65,28507,28507,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27919.47,26218.5,,,28507,28507,cf291ff6,2,0.92,penalized,70,28507,28507,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27700.833333333332,25493.36,,,28507,28507,cf291ff6,2,0.8966666666666666,penalized,75,28507,28507,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27409.44,24089.226666666666,,,28507,28507,cf291ff6,2,0.8466666666666667,penalized,80,28507,28507,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,28054.06333333333,26680.52,,,28507,28507,cf291ff6,2,0.9366666666666666,penalized,85,28507,28507,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27960.85,26388.97333333333,,,28507,28507,cf291ff6,2,0.9266666666666666,penalized,90,28507,28507,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27987.603333333333,26013.42,,,28507,28507,cf291ff6,2,0.9133333333333333,penalized,95,28507,28507,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27969.856666666667,26109.05,,,28507,28507,cf291ff6,2,0.9166666666666666,penalized,100,28507,28507,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27910.873333333333,25827.346666666668,,,28507,28507,cf291ff6,2,0.9066666666666666,penalized,105,28507,28507,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,28149.743333333332,26695.863333333335,,,28507,28507,cf291ff6,2,0.9366666666666666,penalized,110,28507,28507,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27802.553333333333,25717.783333333333,,,28507,28507,cf291ff6,2,0.9033333333333333,penalized,115,28507,28507,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A001_rtr0.10_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
