algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4257.903333333334,3776.3133333333335,,,23592,23592,2fc14040,2,0.2,penalized,0,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,5708.636666666666,4814.906666666667,,,24509,24509,2fc14040,2,0.22,penalized,5,24509,24509,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22593.33,19212.946666666667,,,25977,25977,2fc14040,2,0.77,penalized,10,25977,25977,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22868.17,17799.416666666668,,,26818,26818,2fc14040,2,0.6766666666666666,penalized,15,26818,26818,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22555.2,17004.766666666666,,,27330,27330,2fc14040,2,0.63,penalized,20,27330,27330,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,26618.103333333333,24115.783333333333,,,27330,27330,2fc14040,2,0.8833333333333333,penalized,25,27330,27330,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,26302.673333333332,23758.546666666665,,,27330,27330,2fc14040,2,0.87,penalized,30,27330,27330,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,26521.69,24398.733333333334,,,27330,27330,2fc14040,2,0.8933333333333333,penalized,35,27330,27330,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,26860.893333333333,25572.43,,,27330,27330,2fc14040,2,0.9366666666666666,penalized,40,27330,27330,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,26707.85,25114.47,,,27330,27330,2fc14040,2,0.92,penalized,45,27330,27330,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,26737.423333333332,25394.76,,,27330,27330,2fc14040,2,0.93,penalized,50,27330,27330,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,26789.083333333332,25585.31333333333,,,27330,27330,2fc14040,2,0.9366666666666666,penalized,55,27330,27330,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,26876.353333333333,25762.146666666667,,,27330,27330,2fc14040,2,0.9433333333333334,penalized,60,27330,27330,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,26780.343333333334,25574.513333333332,,,27330,27330,2fc14040,2,0.9366666666666666,penalized,65,27330,27330,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,26632.643333333333,24949.15,,,27330,27330,2fc14040,2,0.9133333333333333,penalized,70,27330,27330,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,26827.533333333333,25771.433333333334,,,27330,27330,2fc14040,2,0.9433333333333334,penalized,75,27330,27330,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.1,strict,A002_rtr0.10_pm0.10_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
