algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4257.903333333334,3776.3133333333335,,,23592,23592,37290ac9,2,0.2,penalized,0,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A006_rtr0.10_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,1988.5033333333333,392.62333333333333,,,23867,23867,37290ac9,2,0.016666666666666666,penalized,5,23867,23867,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A006_rtr0.10_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2528.5733333333333,159.11333333333334,,,23867,23867,37290ac9,2,0.006666666666666667,penalized,10,23867,23867,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A006_rtr0.10_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,3079.8366666666666,462.75,,,24379,24379,37290ac9,2,0.02,penalized,15,24379,24379,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A006_rtr0.10_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2691.883333333333,299.8433333333333,,,24387,24387,37290ac9,2,0.013333333333333334,penalized,20,24387,24387,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A006_rtr0.10_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,3396.18,310.37333333333333,,,24387,24387,37290ac9,2,0.013333333333333334,penalized,25,24387,24387,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A006_rtr0.10_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2721.36,226.02333333333334,,,24387,24387,37290ac9,2,0.01,penalized,30,24387,24387,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A006_rtr0.10_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2655.8333333333335,243.50333333333333,,,24387,24387,37290ac9,2,0.01,penalized,35,24387,24387,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A006_rtr0.10_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2771.06,162.58,,,24387,24387,37290ac9,2,0.006666666666666667,penalized,40,24387,24387,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A006_rtr0.10_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,1969.62,164.17333333333335,,,24865,24865,37290ac9,2,0.006666666666666667,penalized,45,24865,24865,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A006_rtr0.10_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
