algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,3957.556666666667,3570.616666666667,,,25425,25425,30872cdf,2,0.18,penalized,0,25425,25425,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A007_rtr0.10_pm0.10_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,299.41,169.44,,,25425,25425,30872cdf,2,0.006666666666666667,penalized,5,25425,25425,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A007_rtr0.10_pm0.10_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,326.72333333333336,242.23333333333332,,,25707,25707,30872cdf,2,0.01,penalized,10,25707,25707,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A007_rtr0.10_pm0.10_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,524.3866666666667,170.44,,,25707,25707,30872cdf,2,0.006666666666666667,penalized,15,25707,25707,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A007_rtr0.10_pm0.10_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,405.2966666666667,170.44,,,25707,25707,30872cdf,2,0.006666666666666667,penalized,20,25707,25707,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A007_rtr0.10_pm0.10_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,318.72,171.79666666666665,,,25832,25832,30872cdf,2,0.006666666666666667,penalized,25,25832,25832,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A007_rtr0.10_pm0.10_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,565.0833333333334,257.9033333333333,,,25832,25832,30872cdf,2,0.01,penalized,30,25832,25832,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A007_rtr0.10_pm0.10_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,411.25,172.21333333333334,,,25832,25832,30872cdf,2,0.006666666666666667,penalized,35,25832,25832,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A007_rtr0.10_pm0.10_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,403.93,259.2366666666667,,,26107,26107,30872cdf,2,0.01,penalized,40,26107,26107,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A007_rtr0.10_pm0.10_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,445.8666666666667,173.13,,,26107,26107,30872cdf,2,0.006666666666666667,penalized,45,26107,26107,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,A007_rtr0.10_pm0.10_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
