algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,1fd82e3f,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1621.24,164.99,,,25193,25193,1fd82e3f,2,0.006666666666666667,penalized,5,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1776.92,290.35333333333335,,,25193,25193,1fd82e3f,2,0.013333333333333334,penalized,10,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1348.7733333333333,164.99,,,25193,25193,1fd82e3f,2,0.006666666666666667,penalized,15,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1673.1,227.01333333333332,,,25193,25193,1fd82e3f,2,0.01,penalized,20,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1145.0666666666666,164.99,,,25193,25193,1fd82e3f,2,0.006666666666666667,penalized,25,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1686.1633333333334,164.99,,,25193,25193,1fd82e3f,2,0.006666666666666667,penalized,30,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1472.51,164.99,,,25193,25193,1fd82e3f,2,0.006666666666666667,penalized,35,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1275.42,164.99,,,25193,25193,1fd82e3f,2,0.006666666666666667,penalized,40,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1162.0333333333333,166.24666666666667,,,25193,25193,1fd82e3f,2,0.006666666666666667,penalized,45,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1529.6166666666666,219.73,,,25193,25193,1fd82e3f,2,0.01,penalized,50,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1906.1333333333334,166.24666666666667,,,25193,25193,1fd82e3f,2,0.006666666666666667,penalized,55,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1415.94,166.24666666666667,,,25193,25193,1fd82e3f,2,0.006666666666666667,penalized,60,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
