algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,0be6847f,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,3877.0066666666667,2192.34,,,24357,24357,0be6847f,2,0.10333333333333333,penalized,5,24357,24357,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,19830.213333333333,14296.056666666667,,,25340,25340,0be6847f,2,0.5833333333333334,penalized,10,25340,25340,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,22610.126666666667,17562.616666666665,,,26510,26510,0be6847f,2,0.6833333333333333,penalized,15,26510,26510,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,22767.596666666668,17438.876666666667,,,26796,26796,0be6847f,2,0.66,penalized,20,26796,26796,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26120.24,23895.733333333334,,,26796,26796,0be6847f,2,0.8933333333333333,penalized,25,26796,26796,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,25815.773333333334,22635.663333333334,,,26796,26796,0be6847f,2,0.8466666666666667,penalized,30,26796,26796,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26021.53,23355.13,,,26796,26796,0be6847f,2,0.8733333333333333,penalized,35,26796,26796,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,25970.69,23782.236666666668,,,26796,26796,0be6847f,2,0.89,penalized,40,26796,26796,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,25807.133333333335,22382.93666666667,,,27244,27244,0be6847f,2,0.8366666666666667,penalized,45,27244,27244,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26054.95,22556.08,,,27244,27244,0be6847f,2,0.83,penalized,50,27244,27244,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26398.316666666666,23494.07,,,27244,27244,0be6847f,2,0.8633333333333333,penalized,55,27244,27244,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26407.413333333334,23285.856666666667,,,27244,27244,0be6847f,2,0.8566666666666667,penalized,60,27244,27244,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26287.636666666665,23486.263333333332,,,27244,27244,0be6847f,2,0.8633333333333333,penalized,65,27244,27244,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26089.226666666666,22581.073333333334,,,27244,27244,0be6847f,2,0.83,penalized,70,27244,27244,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26494.13,24037.986666666668,,,27244,27244,0be6847f,2,0.8833333333333333,penalized,75,27244,27244,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26311.52666666667,23483.193333333333,,,27244,27244,0be6847f,2,0.8633333333333333,penalized,80,27244,27244,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26321.92,23610.51,,,27244,27244,0be6847f,2,0.87,penalized,85,27244,27244,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26508.653333333332,24022.65,,,27244,27244,0be6847f,2,0.8833333333333333,penalized,90,27244,27244,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26428.47333333333,23957.773333333334,,,27244,27244,0be6847f,2,0.88,penalized,95,27244,27244,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,25536.76,21436.96,,,27756,27756,0be6847f,2,0.7866666666666666,penalized,100,27756,27756,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26497.85,22732.736666666668,,,27756,27756,0be6847f,2,0.82,penalized,105,27756,27756,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26574.073333333334,23080.92,,,27756,27756,0be6847f,2,0.8333333333333334,penalized,110,27756,27756,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26451.156666666666,22896.683333333334,,,27756,27756,0be6847f,2,0.8266666666666667,penalized,115,27756,27756,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26779.153333333332,23654.77,,,27756,27756,0be6847f,2,0.8533333333333334,penalized,120,27756,27756,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26485.203333333335,22818.103333333333,,,27756,27756,0be6847f,2,0.8233333333333334,penalized,125,27756,27756,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26626.61,23696.453333333335,,,27756,27756,0be6847f,2,0.8566666666666667,penalized,130,27756,27756,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26194.393333333333,22254.23,,,28204,28204,0be6847f,2,0.7966666666666666,penalized,135,28204,28204,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,27087.963333333333,24474.206666666665,,,28204,28204,0be6847f,2,0.87,penalized,140,28204,28204,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26979.74,23554.356666666667,,,28204,28204,0be6847f,2,0.8366666666666667,penalized,145,28204,28204,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26930.93,23360.01,,,28204,28204,0be6847f,2,0.83,penalized,150,28204,28204,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,27173.47,24204.41,,,28204,28204,0be6847f,2,0.86,penalized,155,28204,28204,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,27174.56,24299.603333333333,,,28204,28204,0be6847f,2,0.8633333333333333,penalized,160,28204,28204,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,27110.476666666666,23996.133333333335,,,28204,28204,0be6847f,2,0.8533333333333334,penalized,165,28204,28204,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,27095.503333333334,23466.146666666667,,,28204,28204,0be6847f,2,0.8333333333333334,penalized,170,28204,28204,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,27192.486666666668,23570.843333333334,,,28204,28204,0be6847f,2,0.8366666666666667,penalized,175,28204,28204,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26770.676666666666,23287.013333333332,,,28204,28204,0be6847f,2,0.8266666666666667,penalized,180,28204,28204,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,27119.133333333335,24026.88,,,28204,28204,0be6847f,2,0.8533333333333334,penalized,185,28204,28204,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,27098.51,23834.636666666665,,,28204,28204,0be6847f,2,0.8466666666666667,penalized,190,28204,28204,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
