algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4257.903333333334,3776.3133333333335,,,23592,23592,0f093ffa,2,0.2,penalized,0,23592,23592,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,9661.166666666666,8186.156666666667,,,25932,25932,0f093ffa,2,0.3466666666666667,penalized,5,25932,25932,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23848.283333333333,20128.98,,,27095,27095,0f093ffa,2,0.7733333333333333,penalized,10,27095,27095,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,25255.84,20697.523333333334,,,27946,27946,0f093ffa,2,0.7533333333333333,penalized,15,27946,27946,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,26600.29,23082.553333333333,,,28507,28507,0f093ffa,2,0.82,penalized,20,28507,28507,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,27114.47333333333,23871.59,,,28507,28507,0f093ffa,2,0.84,penalized,25,28507,28507,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,27080.866666666665,23500.746666666666,,,28507,28507,0f093ffa,2,0.8266666666666667,penalized,30,28507,28507,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,27143.243333333332,24330.546666666665,,,28507,28507,0f093ffa,2,0.8566666666666667,penalized,35,28507,28507,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,26897.993333333332,23514.44,,,28507,28507,0f093ffa,2,0.8266666666666667,penalized,40,28507,28507,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,27546.373333333333,25597.69,,,28507,28507,0f093ffa,2,0.9,penalized,45,28507,28507,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,27166.103333333333,24002.16,,,28507,28507,0f093ffa,2,0.8433333333333334,penalized,50,28507,28507,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,27568.273333333334,25216.203333333335,,,28507,28507,0f093ffa,2,0.8866666666666667,penalized,55,28507,28507,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,27204.1,23786.29,,,28507,28507,0f093ffa,2,0.8366666666666667,penalized,60,28507,28507,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,27483.18666666667,24714.98,,,28507,28507,0f093ffa,2,0.87,penalized,65,28507,28507,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,27182.466666666667,24170.15,,,28507,28507,0f093ffa,2,0.85,penalized,70,28507,28507,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,27338.743333333332,23999.08,,,28507,28507,0f093ffa,2,0.8433333333333334,penalized,75,28507,28507,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
