algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,4dad8632,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,579.6666666666666,363.75666666666666,,,25201,25201,4dad8632,2,0.016666666666666666,penalized,5,25201,25201,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,619.3166666666667,619.3166666666667,,,25649,25649,4dad8632,2,0.02666666666666667,penalized,10,25649,25649,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,755.4866666666667,589.92,,,25949,25949,4dad8632,2,0.023333333333333334,penalized,15,25949,25949,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,6637.41,2218.9133333333334,,,26905,26905,4dad8632,2,0.08666666666666667,penalized,20,26905,26905,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,24210.693333333333,19456.003333333334,,,27808,27808,4dad8632,2,0.7166666666666667,penalized,25,27808,27808,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,24998.71,19493.116666666665,,,28863,28863,4dad8632,2,0.6933333333333334,penalized,30,28863,28863,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,26374.416666666668,21642.84,,,29006,29006,4dad8632,2,0.75,penalized,35,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27514.163333333334,23632.256666666668,,,29006,29006,4dad8632,2,0.8166666666666667,penalized,40,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27611.76,23618.603333333333,,,29006,29006,4dad8632,2,0.8166666666666667,penalized,45,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27966.94,25147.753333333334,,,29006,29006,4dad8632,2,0.87,penalized,50,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,28046.786666666667,25363.543333333335,,,29006,29006,4dad8632,2,0.8766666666666667,penalized,55,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27929.146666666667,24978.716666666667,,,29006,29006,4dad8632,2,0.8633333333333333,penalized,60,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27561.156666666666,23995.03,,,29006,29006,4dad8632,2,0.83,penalized,65,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27887.57,25072.976666666666,,,29006,29006,4dad8632,2,0.8666666666666667,penalized,70,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27880.25,24736.886666666665,,,29006,29006,4dad8632,2,0.8566666666666667,penalized,75,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27852.693333333333,24766.246666666666,,,29006,29006,4dad8632,2,0.8566666666666667,penalized,80,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
