algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,cb50cc65,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A016_rtr0.10_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2032.6166666666666,158.51,,,23839,23839,cb50cc65,2,0.006666666666666667,penalized,5,23839,23839,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A016_rtr0.10_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1770.4133333333334,158.51,,,23839,23839,cb50cc65,2,0.006666666666666667,penalized,10,23839,23839,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A016_rtr0.10_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1995.89,238.18666666666667,,,23903,23903,cb50cc65,2,0.01,penalized,15,23903,23903,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A016_rtr0.10_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2859.3366666666666,238.81666666666666,,,23903,23903,cb50cc65,2,0.01,penalized,20,23903,23903,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A016_rtr0.10_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1818.0033333333333,160.29666666666665,,,24186,24186,cb50cc65,2,0.006666666666666667,penalized,25,24186,24186,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A016_rtr0.10_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2104.866666666667,162.78333333333333,,,24589,24589,cb50cc65,2,0.006666666666666667,penalized,30,24589,24589,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A016_rtr0.10_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1872.9066666666668,164.92666666666668,,,24889,24889,cb50cc65,2,0.006666666666666667,penalized,35,24889,24889,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A016_rtr0.10_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1666.4366666666667,165.92666666666668,,,24889,24889,cb50cc65,2,0.006666666666666667,penalized,40,24889,24889,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A016_rtr0.10_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1740.76,167.42,,,25337,25337,cb50cc65,2,0.006666666666666667,penalized,45,25337,25337,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A016_rtr0.10_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
