algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,25bb29b1,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A017_rtr0.10_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,344.55,158.57666666666665,,,24896,24896,25bb29b1,2,0.006666666666666667,penalized,5,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A017_rtr0.10_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,529.32,158.57666666666665,,,24896,24896,25bb29b1,2,0.006666666666666667,penalized,10,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A017_rtr0.10_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,280.79,165.97333333333333,,,24896,24896,25bb29b1,2,0.006666666666666667,penalized,15,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A017_rtr0.10_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,350.86,165.97333333333333,,,24896,24896,25bb29b1,2,0.006666666666666667,penalized,20,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A017_rtr0.10_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,352.82,165.97333333333333,,,24896,24896,25bb29b1,2,0.006666666666666667,penalized,25,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A017_rtr0.10_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,290.6666666666667,165.97333333333333,,,24896,24896,25bb29b1,2,0.006666666666666667,penalized,30,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A017_rtr0.10_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,267.9166666666667,165.97333333333333,,,24896,24896,25bb29b1,2,0.006666666666666667,penalized,35,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A017_rtr0.10_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,192.15666666666667,165.97333333333333,,,24896,24896,25bb29b1,2,0.006666666666666667,penalized,40,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A017_rtr0.10_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,450.3233333333333,165.97333333333333,,,24896,24896,25bb29b1,2,0.006666666666666667,penalized,45,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A017_rtr0.10_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
