algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,3957.556666666667,3570.616666666667,,,25425,25425,63140c59,2,0.18,penalized,0,25425,25425,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2803.1033333333335,309.31,,,25425,25425,63140c59,2,0.013333333333333334,penalized,5,25425,25425,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2912.3133333333335,403.04333333333335,,,25855,25855,63140c59,2,0.016666666666666666,penalized,10,25855,25855,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2820.78,334.55,,,26020,26020,63140c59,2,0.013333333333333334,penalized,15,26020,26020,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,1988.9166666666667,261.2,,,26320,26320,63140c59,2,0.01,penalized,20,26320,26320,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2755.346666666667,305.3333333333333,,,26320,26320,63140c59,2,0.013333333333333334,penalized,25,26320,26320,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3039.0533333333333,250.50666666666666,,,26445,26445,63140c59,2,0.01,penalized,30,26445,26445,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3063.68,176.3,,,26445,26445,63140c59,2,0.006666666666666667,penalized,35,26445,26445,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2696.3233333333333,178.00666666666666,,,26957,26957,63140c59,2,0.006666666666666667,penalized,40,26957,26957,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3281.2466666666664,259.28333333333336,,,26957,26957,63140c59,2,0.01,penalized,45,26957,26957,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,1776.6266666666668,179.71333333333334,,,26957,26957,63140c59,2,0.006666666666666667,penalized,50,26957,26957,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2250.1233333333334,179.71333333333334,,,26957,26957,63140c59,2,0.006666666666666667,penalized,55,26957,26957,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,1301.9,179.71333333333334,,,26957,26957,63140c59,2,0.006666666666666667,penalized,60,26957,26957,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,1699.96,179.71333333333334,,,26957,26957,63140c59,2,0.006666666666666667,penalized,65,26957,26957,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2812.63,179.71333333333334,,,26957,26957,63140c59,2,0.006666666666666667,penalized,70,26957,26957,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2864.4133333333334,179.71333333333334,,,26957,26957,63140c59,2,0.006666666666666667,penalized,75,26957,26957,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2321.6033333333335,179.71333333333334,,,26957,26957,63140c59,2,0.006666666666666667,penalized,80,26957,26957,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2887.1966666666667,179.71333333333334,,,26957,26957,63140c59,2,0.006666666666666667,penalized,85,26957,26957,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3190.37,356.8233333333333,,,27411,27411,63140c59,2,0.013333333333333334,penalized,90,27411,27411,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2607.2,182.01333333333332,,,27411,27411,63140c59,2,0.006666666666666667,penalized,95,27411,27411,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2651.536666666667,183.65666666666667,,,27686,27686,63140c59,2,0.006666666666666667,penalized,100,27686,27686,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2571.8966666666665,243.55333333333334,,,27686,27686,63140c59,2,0.01,penalized,105,27686,27686,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3050.32,183.65666666666667,,,27686,27686,63140c59,2,0.006666666666666667,penalized,110,27686,27686,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3390.306666666667,183.65666666666667,,,27686,27686,63140c59,2,0.006666666666666667,penalized,115,27686,27686,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2929.5233333333335,257.57,,,27686,27686,63140c59,2,0.01,penalized,120,27686,27686,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3245.17,272.38666666666666,,,27686,27686,63140c59,2,0.01,penalized,125,27686,27686,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2507.326666666667,400.49333333333334,,,27686,27686,63140c59,2,0.016666666666666666,penalized,130,27686,27686,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2350.3,348.3466666666667,,,27686,27686,63140c59,2,0.013333333333333334,penalized,135,27686,27686,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3073.826666666667,263.7,,,27686,27686,63140c59,2,0.01,penalized,140,27686,27686,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3141.5133333333333,275.02666666666664,,,27686,27686,63140c59,2,0.01,penalized,145,27686,27686,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2288.766666666667,274.5133333333333,,,27686,27686,63140c59,2,0.01,penalized,150,27686,27686,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3777.423333333333,184.57333333333332,,,27686,27686,63140c59,2,0.006666666666666667,penalized,155,27686,27686,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
