algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,19cc4633,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,944.4333333333333,149.88333333333333,,,24896,24896,19cc4633,2,0.006666666666666667,penalized,5,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1326.8433333333332,192.98333333333332,,,24896,24896,19cc4633,2,0.01,penalized,10,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1098.7633333333333,149.88333333333333,,,24896,24896,19cc4633,2,0.006666666666666667,penalized,15,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1622.2033333333334,149.88333333333333,,,24896,24896,19cc4633,2,0.006666666666666667,penalized,20,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1499.0133333333333,149.88333333333333,,,24896,24896,19cc4633,2,0.006666666666666667,penalized,25,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1435.4133333333334,149.88333333333333,,,24896,24896,19cc4633,2,0.006666666666666667,penalized,30,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1029.3366666666666,82.98666666666666,,,24896,24896,19cc4633,2,0.0033333333333333335,penalized,35,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1779.3633333333332,149.82333333333332,,,24896,24896,19cc4633,2,0.006666666666666667,penalized,40,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1314.04,165.1,,,24896,24896,19cc4633,2,0.006666666666666667,penalized,45,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1442.6033333333332,165.1,,,24896,24896,19cc4633,2,0.006666666666666667,penalized,50,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1237.7133333333334,165.1,,,24896,24896,19cc4633,2,0.006666666666666667,penalized,55,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1404.1333333333334,165.1,,,24896,24896,19cc4633,2,0.006666666666666667,penalized,60,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
