algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,7be73053,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9,2,tournament,0.25,5
ga,248.23666666666668,150.96666666666667,,,23714,23714,7be73053,2,0.006666666666666667,penalized,5,23714,23714,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9,2,tournament,0.25,5
ga,267.28333333333336,150.96666666666667,,,23714,23714,7be73053,2,0.006666666666666667,penalized,10,23714,23714,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9,2,tournament,0.25,5
ga,251.52666666666667,150.96666666666667,,,23714,23714,7be73053,2,0.006666666666666667,penalized,15,23714,23714,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9,2,tournament,0.25,5
ga,211.03,150.96666666666667,,,23714,23714,7be73053,2,0.006666666666666667,penalized,20,23714,23714,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9,2,tournament,0.25,5
ga,223.45333333333335,150.96666666666667,,,23714,23714,7be73053,2,0.006666666666666667,penalized,25,23714,23714,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9,2,tournament,0.25,5
ga,200.56666666666666,150.96666666666667,,,23714,23714,7be73053,2,0.006666666666666667,penalized,30,23714,23714,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9,2,tournament,0.25,5
ga,170.37,150.96666666666667,,,23714,23714,7be73053,2,0.006666666666666667,penalized,35,23714,23714,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9,2,tournament,0.25,5
ga,380.01,150.96666666666667,,,23714,23714,7be73053,2,0.006666666666666667,penalized,40,23714,23714,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9,2,tournament,0.25,5
ga,200.12666666666667,150.96666666666667,,,23714,23714,7be73053,2,0.006666666666666667,penalized,45,23714,23714,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9,2,tournament,0.25,5
ga,372.4866666666667,150.96666666666667,,,23714,23714,7be73053,2,0.006666666666666667,penalized,50,23714,23714,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9,2,tournament,0.25,5
ga,235.60666666666665,150.96666666666667,,,23714,23714,7be73053,2,0.006666666666666667,penalized,55,23714,23714,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9,2,tournament,0.25,5
ga,236.50666666666666,150.96666666666667,,,23714,23714,7be73053,2,0.006666666666666667,penalized,60,23714,23714,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9,2,tournament,0.25,5
