algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,9a27fdb1,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1566.52,237.91,,,25193,25193,9a27fdb1,2,0.01,penalized,5,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1141.57,200.05333333333334,,,25193,25193,9a27fdb1,2,0.01,penalized,10,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1479.65,164.99,,,25193,25193,9a27fdb1,2,0.006666666666666667,penalized,15,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1962.1,236.59,,,25193,25193,9a27fdb1,2,0.01,penalized,20,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1684.73,164.99,,,25193,25193,9a27fdb1,2,0.006666666666666667,penalized,25,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1096.6166666666666,203.41333333333333,,,25193,25193,9a27fdb1,2,0.01,penalized,30,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1286.8966666666668,164.99,,,25193,25193,9a27fdb1,2,0.006666666666666667,penalized,35,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,2026.9133333333334,164.99,,,25193,25193,9a27fdb1,2,0.006666666666666667,penalized,40,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1631.29,164.99,,,25193,25193,9a27fdb1,2,0.006666666666666667,penalized,45,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,2174.2566666666667,164.99,,,25193,25193,9a27fdb1,2,0.006666666666666667,penalized,50,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1307.0766666666666,164.99,,,25193,25193,9a27fdb1,2,0.006666666666666667,penalized,55,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1629.2533333333333,237.71666666666667,,,25193,25193,9a27fdb1,2,0.01,penalized,60,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
