algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,0eb446bc,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,3966.3933333333334,1878.2766666666666,,,24550,24550,0eb446bc,2,0.08,penalized,5,24550,24550,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,19518.713333333333,11380.086666666666,,,25469,25469,0eb446bc,2,0.4666666666666667,penalized,10,25469,25469,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,18392.756666666668,11400.033333333333,,,25853,25853,0eb446bc,2,0.45,penalized,15,25853,25853,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,22796.636666666665,15720.06,,,26601,26601,0eb446bc,2,0.6066666666666667,penalized,20,26601,26601,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,23870.183333333334,18293.666666666668,,,26901,26901,0eb446bc,2,0.69,penalized,25,26901,26901,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,23280.033333333333,16016.64,,,27413,27413,0eb446bc,2,0.6,penalized,30,27413,27413,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,26013.976666666666,20591.896666666667,,,27413,27413,0eb446bc,2,0.7533333333333333,penalized,35,27413,27413,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,25922.423333333332,21037.946666666667,,,27413,27413,0eb446bc,2,0.77,penalized,40,27413,27413,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,25643.1,19499.246666666666,,,27756,27756,0eb446bc,2,0.7133333333333334,penalized,45,27756,27756,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,24963.516666666666,18350.07,,,27756,27756,0eb446bc,2,0.6666666666666666,penalized,50,27756,27756,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,25324.093333333334,18729.14,,,27756,27756,0eb446bc,2,0.6766666666666666,penalized,55,27756,27756,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,25112.793333333335,19081.77666666667,,,27756,27756,0eb446bc,2,0.69,penalized,60,27756,27756,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,25388.756666666668,19072.376666666667,,,27756,27756,0eb446bc,2,0.69,penalized,65,27756,27756,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,25348.44,18832.093333333334,,,27756,27756,0eb446bc,2,0.68,penalized,70,27756,27756,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
