algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,647aa0bd,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,649.0433333333333,493.06,,,24896,24896,647aa0bd,2,0.02,penalized,5,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,793.7633333333333,333.28333333333336,,,25171,25171,647aa0bd,2,0.013333333333333334,penalized,10,25171,25171,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,8308.483333333334,1813.6033333333332,,,25527,25527,647aa0bd,2,0.07333333333333333,penalized,15,25527,25527,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,19859.286666666667,11580.376666666667,,,26295,26295,647aa0bd,2,0.46,penalized,20,26295,26295,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,19551.45,11954.07,,,26776,26776,647aa0bd,2,0.46,penalized,25,26776,26776,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,22097.093333333334,14444.166666666666,,,27224,27224,647aa0bd,2,0.5433333333333333,penalized,30,27224,27224,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,22640.28,14045.133333333333,,,27474,27474,647aa0bd,2,0.5166666666666667,penalized,35,27474,27474,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,23937.003333333334,17226.28,,,27474,27474,647aa0bd,2,0.63,penalized,40,27474,27474,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,24909.756666666668,19343.82,,,27474,27474,647aa0bd,2,0.7066666666666667,penalized,45,27474,27474,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,24985.13,18594.116666666665,,,27474,27474,647aa0bd,2,0.68,penalized,50,27474,27474,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,24712.043333333335,18222.13,,,27474,27474,647aa0bd,2,0.6666666666666666,penalized,55,27474,27474,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25307.206666666665,19166.16,,,27474,27474,647aa0bd,2,0.7,penalized,60,27474,27474,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25365.26,19768.96,,,27474,27474,647aa0bd,2,0.7233333333333334,penalized,65,27474,27474,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25499.966666666667,20769.226666666666,,,27474,27474,647aa0bd,2,0.76,penalized,70,27474,27474,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25074.42,19325.97,,,27474,27474,647aa0bd,2,0.7066666666666667,penalized,75,27474,27474,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25529.406666666666,20953.636666666665,,,27474,27474,647aa0bd,2,0.7666666666666667,penalized,80,27474,27474,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25328.226666666666,19801.906666666666,,,27474,27474,647aa0bd,2,0.7233333333333334,penalized,85,27474,27474,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25258.943333333333,19699.193333333333,,,27474,27474,647aa0bd,2,0.72,penalized,90,27474,27474,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
