algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,72a98dfd,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,5022.053333333333,2230.056666666667,,,25678,25678,72a98dfd,2,0.09666666666666666,penalized,5,25678,25678,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,13397.58,7906.34,,,26738,26738,72a98dfd,2,0.31,penalized,10,26738,26738,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,21102.47,14013.023333333333,,,27689,27689,72a98dfd,2,0.5233333333333333,penalized,15,27689,27689,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,19533.44,12426.93,,,27990,27990,72a98dfd,2,0.45666666666666667,penalized,20,27990,27990,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,20076.666666666668,12284.526666666667,,,28723,28723,72a98dfd,2,0.44333333333333336,penalized,25,28723,28723,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,17524.773333333334,10114.75,,,29006,29006,72a98dfd,2,0.36,penalized,30,29006,29006,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,26397.08,21293.923333333332,,,29006,29006,72a98dfd,2,0.74,penalized,35,29006,29006,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27128.17,22044.496666666666,,,29006,29006,72a98dfd,2,0.7633333333333333,penalized,40,29006,29006,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,26954.24,21934.38,,,29006,29006,72a98dfd,2,0.76,penalized,45,29006,29006,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27313.023333333334,21596.15,,,29006,29006,72a98dfd,2,0.75,penalized,50,29006,29006,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,26830.926666666666,20256.133333333335,,,29006,29006,72a98dfd,2,0.7033333333333334,penalized,55,29006,29006,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,26860.716666666667,21172.5,,,29006,29006,72a98dfd,2,0.7333333333333333,penalized,60,29006,29006,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27008.013333333332,20841.236666666668,,,29006,29006,72a98dfd,2,0.7233333333333334,penalized,65,29006,29006,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27183.456666666665,22488.74,,,29006,29006,72a98dfd,2,0.78,penalized,70,29006,29006,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27162.943333333333,22282.783333333333,,,29006,29006,72a98dfd,2,0.7733333333333333,penalized,75,29006,29006,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27151.623333333333,21821.433333333334,,,29006,29006,72a98dfd,2,0.7566666666666667,penalized,80,29006,29006,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27129.963333333333,21652.73,,,29006,29006,72a98dfd,2,0.75,penalized,85,29006,29006,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
