algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,8ce7036c,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,506.0366666666667,254.21666666666667,,,25536,25536,8ce7036c,2,0.01,penalized,5,25536,25536,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,1047.44,257.1933333333333,,,25811,25811,8ce7036c,2,0.01,penalized,10,25811,25811,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,4132.913333333333,1037.5233333333333,,,26252,26252,8ce7036c,2,0.04,penalized,15,26252,26252,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,19715.23,11867.506666666666,,,26912,26912,8ce7036c,2,0.45666666666666667,penalized,20,26912,26912,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,18807.523333333334,10312.873333333333,,,27794,27794,8ce7036c,2,0.38666666666666666,penalized,25,27794,27794,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,19534.72,10158.64,,,28265,28265,8ce7036c,2,0.37333333333333335,penalized,30,28265,28265,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,20571.14,12228.423333333334,,,28685,28685,8ce7036c,2,0.44333333333333336,penalized,35,28685,28685,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,23866.39,16786.036666666667,,,29013,29013,8ce7036c,2,0.5966666666666667,penalized,40,29013,29013,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,26949.99,20639.12,,,29454,29454,8ce7036c,2,0.7133333333333334,penalized,45,29454,29454,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,26944.68666666667,19899.736666666668,,,29454,29454,8ce7036c,2,0.68,penalized,50,29454,29454,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27591.316666666666,22914.553333333333,,,29454,29454,8ce7036c,2,0.7833333333333333,penalized,55,29454,29454,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27549.48,22024.926666666666,,,29454,29454,8ce7036c,2,0.7533333333333333,penalized,60,29454,29454,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27463.53,21931.6,,,29454,29454,8ce7036c,2,0.75,penalized,65,29454,29454,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27538.86,22897.823333333334,,,29454,29454,8ce7036c,2,0.7833333333333333,penalized,70,29454,29454,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27547.27,22137.666666666668,,,29454,29454,8ce7036c,2,0.7566666666666667,penalized,75,29454,29454,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27754.453333333335,22719.266666666666,,,29454,29454,8ce7036c,2,0.7766666666666666,penalized,80,29454,29454,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27520.373333333333,22023.01,,,29454,29454,8ce7036c,2,0.7533333333333333,penalized,85,29454,29454,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27877.453333333335,22904.893333333333,,,29454,29454,8ce7036c,2,0.7833333333333333,penalized,90,29454,29454,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27565.203333333335,21951.866666666665,,,29454,29454,8ce7036c,2,0.75,penalized,95,29454,29454,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27596.396666666667,22323.41,,,29454,29454,8ce7036c,2,0.7633333333333333,penalized,100,29454,29454,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
