algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,1115.5333333333333,992.6333333333333,,,24207,24207,9e65092c,2,0.056666666666666664,penalized,0,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,372.85333333333335,157.61666666666667,,,24207,24207,9e65092c,2,0.006666666666666667,penalized,5,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,302.08,158.56,,,24207,24207,9e65092c,2,0.006666666666666667,penalized,10,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,270.72333333333336,158.56,,,24207,24207,9e65092c,2,0.006666666666666667,penalized,15,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,358.2733333333333,158.56,,,24207,24207,9e65092c,2,0.006666666666666667,penalized,20,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,366.67333333333335,160.05333333333334,,,24207,24207,9e65092c,2,0.006666666666666667,penalized,25,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,222.33333333333334,160.05333333333334,,,24207,24207,9e65092c,2,0.006666666666666667,penalized,30,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,304.3666666666667,160.05333333333334,,,24207,24207,9e65092c,2,0.006666666666666667,penalized,35,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,356.27666666666664,160.38,,,24207,24207,9e65092c,2,0.006666666666666667,penalized,40,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,322.44,160.38,,,24207,24207,9e65092c,2,0.006666666666666667,penalized,45,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,416.80333333333334,161.28666666666666,,,24207,24207,9e65092c,2,0.006666666666666667,penalized,50,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,458.4,161.28666666666666,,,24207,24207,9e65092c,2,0.006666666666666667,penalized,55,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,550.0466666666666,240.83333333333334,,,24207,24207,9e65092c,2,0.01,penalized,60,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
