algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,3957.556666666667,3570.616666666667,,,25425,25425,748a2495,2,0.18,penalized,0,25425,25425,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,1888.9333333333334,170.63,,,25764,25764,748a2495,2,0.006666666666666667,penalized,5,25764,25764,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,1889.5966666666666,170.84333333333333,,,25764,25764,748a2495,2,0.006666666666666667,penalized,10,25764,25764,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2234.9566666666665,170.84333333333333,,,25764,25764,748a2495,2,0.006666666666666667,penalized,15,25764,25764,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2842.3433333333332,255.35666666666665,,,25764,25764,748a2495,2,0.01,penalized,20,25764,25764,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2446.3766666666666,170.84333333333333,,,25764,25764,748a2495,2,0.006666666666666667,penalized,25,25764,25764,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2832.4566666666665,319.8466666666667,,,25764,25764,748a2495,2,0.013333333333333334,penalized,30,25764,25764,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3122.21,171.76,,,25764,25764,748a2495,2,0.006666666666666667,penalized,35,25764,25764,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2962.18,171.76,,,25764,25764,748a2495,2,0.006666666666666667,penalized,40,25764,25764,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2718.44,171.76,,,25764,25764,748a2495,2,0.006666666666666667,penalized,45,25764,25764,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2820.9533333333334,418.0566666666667,,,25889,25889,748a2495,2,0.016666666666666666,penalized,50,25889,25889,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2825.7633333333333,172.17666666666668,,,25889,25889,748a2495,2,0.006666666666666667,penalized,55,25889,25889,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2593.82,254.45,,,25889,25889,748a2495,2,0.01,penalized,60,25889,25889,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3183.24,256.48,,,25889,25889,748a2495,2,0.01,penalized,65,25889,25889,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2636.9133333333334,172.59333333333333,,,25889,25889,748a2495,2,0.006666666666666667,penalized,70,25889,25889,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3642.66,172.59333333333333,,,25889,25889,748a2495,2,0.006666666666666667,penalized,75,25889,25889,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2651.34,172.59333333333333,,,25889,25889,748a2495,2,0.006666666666666667,penalized,80,25889,25889,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
