algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,61e08a0b,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,431.7133333333333,164.99,,,25193,25193,61e08a0b,2,0.006666666666666667,penalized,5,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,258.3333333333333,236.80333333333334,,,25193,25193,61e08a0b,2,0.01,penalized,10,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,164.99,164.99,,,25193,25193,61e08a0b,2,0.006666666666666667,penalized,15,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,236.73,166.27333333333334,,,25193,25193,61e08a0b,2,0.006666666666666667,penalized,20,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,428.99666666666667,167.21,,,25193,25193,61e08a0b,2,0.006666666666666667,penalized,25,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,336.52666666666664,167.95333333333335,,,25193,25193,61e08a0b,2,0.006666666666666667,penalized,30,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,347.96666666666664,244.60666666666665,,,25193,25193,61e08a0b,2,0.01,penalized,35,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,550.3266666666667,250.25,,,25193,25193,61e08a0b,2,0.01,penalized,40,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,432.18333333333334,250.22333333333333,,,25193,25193,61e08a0b,2,0.01,penalized,45,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,618.27,401.52,,,25193,25193,61e08a0b,2,0.016666666666666666,penalized,50,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,406.67,167.98,,,25201,25201,61e08a0b,2,0.006666666666666667,penalized,55,25201,25201,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,358.72,242.89333333333335,,,25201,25201,61e08a0b,2,0.01,penalized,60,25201,25201,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,303.1433333333333,167.98,,,25201,25201,61e08a0b,2,0.006666666666666667,penalized,65,25201,25201,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,293.46,167.98,,,25201,25201,61e08a0b,2,0.006666666666666667,penalized,70,25201,25201,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,457.38666666666666,168.00666666666666,,,25201,25201,61e08a0b,2,0.006666666666666667,penalized,75,25201,25201,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,365.2366666666667,252.88333333333333,,,25463,25463,61e08a0b,2,0.01,penalized,80,25463,25463,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,347.55,170.05,,,25552,25552,61e08a0b,2,0.006666666666666667,penalized,85,25552,25552,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,209.84,170.05,,,25552,25552,61e08a0b,2,0.006666666666666667,penalized,90,25552,25552,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,421.43333333333334,170.05,,,25552,25552,61e08a0b,2,0.006666666666666667,penalized,95,25552,25552,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,173.95333333333335,170.05,,,25552,25552,61e08a0b,2,0.006666666666666667,penalized,100,25552,25552,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,344.99666666666667,170.34666666666666,,,25552,25552,61e08a0b,2,0.006666666666666667,penalized,105,25552,25552,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,337.94,170.34666666666666,,,25552,25552,61e08a0b,2,0.006666666666666667,penalized,110,25552,25552,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,368.57666666666665,170.34666666666666,,,25552,25552,61e08a0b,2,0.006666666666666667,penalized,115,25552,25552,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,376.49333333333334,170.34666666666666,,,25552,25552,61e08a0b,2,0.006666666666666667,penalized,120,25552,25552,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,170.34666666666666,170.34666666666666,,,25552,25552,61e08a0b,2,0.006666666666666667,penalized,125,25552,25552,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,309.9033333333333,170.34666666666666,,,25552,25552,61e08a0b,2,0.006666666666666667,penalized,130,25552,25552,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,537.84,243.22666666666666,,,25552,25552,61e08a0b,2,0.01,penalized,135,25552,25552,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,255.26666666666668,170.34666666666666,,,25552,25552,61e08a0b,2,0.006666666666666667,penalized,140,25552,25552,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
