algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,1115.5333333333333,992.6333333333333,,,24207,24207,bf728ec1,2,0.056666666666666664,penalized,0,24207,24207,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1019.3866666666667,146.62666666666667,,,24207,24207,bf728ec1,2,0.006666666666666667,penalized,5,24207,24207,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1213.3566666666666,80.69,,,24207,24207,bf728ec1,2,0.0033333333333333335,penalized,10,24207,24207,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1552.47,80.69,,,24207,24207,bf728ec1,2,0.0033333333333333335,penalized,15,24207,24207,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1450.0233333333333,143.37333333333333,,,24207,24207,bf728ec1,2,0.006666666666666667,penalized,20,24207,24207,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1655.12,80.69,,,24207,24207,bf728ec1,2,0.0033333333333333335,penalized,25,24207,24207,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1878.4333333333334,123.27666666666667,,,24207,24207,bf728ec1,2,0.006666666666666667,penalized,30,24207,24207,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,2115.173333333333,80.69,,,24207,24207,bf728ec1,2,0.0033333333333333335,penalized,35,24207,24207,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1162.8566666666666,80.69,,,24207,24207,bf728ec1,2,0.0033333333333333335,penalized,40,24207,24207,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1702.6166666666666,169.20666666666668,,,24207,24207,bf728ec1,2,0.01,penalized,45,24207,24207,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1326.2633333333333,80.69,,,24207,24207,bf728ec1,2,0.0033333333333333335,penalized,50,24207,24207,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1578.13,80.69,,,24207,24207,bf728ec1,2,0.0033333333333333335,penalized,55,24207,24207,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1587.3,117.29333333333334,,,24207,24207,bf728ec1,2,0.006666666666666667,penalized,60,24207,24207,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
