algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,1115.5333333333333,992.6333333333333,,,24207,24207,6ac774cf,2,0.056666666666666664,penalized,0,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A033_rtr0.10_pm0.35_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,241.87,146.62666666666667,,,24207,24207,6ac774cf,2,0.006666666666666667,penalized,5,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A033_rtr0.10_pm0.35_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,377.5133333333333,146.62666666666667,,,24207,24207,6ac774cf,2,0.006666666666666667,penalized,10,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A033_rtr0.10_pm0.35_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,393.06333333333333,146.62666666666667,,,24207,24207,6ac774cf,2,0.006666666666666667,penalized,15,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A033_rtr0.10_pm0.35_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,275.28,146.62666666666667,,,24207,24207,6ac774cf,2,0.006666666666666667,penalized,20,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A033_rtr0.10_pm0.35_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,261.4,222.61666666666667,,,24207,24207,6ac774cf,2,0.01,penalized,25,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A033_rtr0.10_pm0.35_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,222.51333333333332,156.68,,,24207,24207,6ac774cf,2,0.006666666666666667,penalized,30,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A033_rtr0.10_pm0.35_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,395.01,156.68,,,24207,24207,6ac774cf,2,0.006666666666666667,penalized,35,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A033_rtr0.10_pm0.35_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,250.42333333333335,156.68,,,24207,24207,6ac774cf,2,0.006666666666666667,penalized,40,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A033_rtr0.10_pm0.35_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,356.4866666666667,156.68,,,24207,24207,6ac774cf,2,0.006666666666666667,penalized,45,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A033_rtr0.10_pm0.35_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,348.11,156.68,,,24207,24207,6ac774cf,2,0.006666666666666667,penalized,50,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A033_rtr0.10_pm0.35_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,226.68,156.68,,,24207,24207,6ac774cf,2,0.006666666666666667,penalized,55,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A033_rtr0.10_pm0.35_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,360.18333333333334,156.68,,,24207,24207,6ac774cf,2,0.006666666666666667,penalized,60,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A033_rtr0.10_pm0.35_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
