algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,a869c639,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A035_rtr0.10_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,327.3233333333333,164.99,,,25193,25193,a869c639,2,0.006666666666666667,penalized,5,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A035_rtr0.10_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,286.51666666666665,164.99,,,25193,25193,a869c639,2,0.006666666666666667,penalized,10,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A035_rtr0.10_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,321.39,164.99,,,25193,25193,a869c639,2,0.006666666666666667,penalized,15,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A035_rtr0.10_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,366.55,164.99,,,25193,25193,a869c639,2,0.006666666666666667,penalized,20,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A035_rtr0.10_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,320.83666666666664,164.99,,,25193,25193,a869c639,2,0.006666666666666667,penalized,25,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A035_rtr0.10_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,271.99,164.99,,,25193,25193,a869c639,2,0.006666666666666667,penalized,30,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A035_rtr0.10_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,373.28,164.99,,,25193,25193,a869c639,2,0.006666666666666667,penalized,35,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A035_rtr0.10_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,274.02,164.99,,,25193,25193,a869c639,2,0.006666666666666667,penalized,40,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A035_rtr0.10_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,384.7633333333333,166.24666666666667,,,25193,25193,a869c639,2,0.006666666666666667,penalized,45,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A035_rtr0.10_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,269.96666666666664,166.24666666666667,,,25193,25193,a869c639,2,0.006666666666666667,penalized,50,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A035_rtr0.10_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,292.4866666666667,166.24666666666667,,,25193,25193,a869c639,2,0.006666666666666667,penalized,55,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A035_rtr0.10_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,653.2233333333334,166.24666666666667,,,25193,25193,a869c639,2,0.006666666666666667,penalized,60,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,A035_rtr0.10_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
