algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,78ef12cc,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,5227.233333333334,3584.7433333333333,,,25479,25479,78ef12cc,2,0.16666666666666666,penalized,5,25479,25479,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,24709.696666666667,22155.363333333335,,,26728,26728,78ef12cc,2,0.85,penalized,10,26728,26728,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,24189.78,20338.79,,,27635,27635,78ef12cc,2,0.7533333333333333,penalized,15,27635,27635,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,25282.26,21824.823333333334,,,27986,27986,78ef12cc,2,0.79,penalized,20,27986,27986,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,26975.283333333333,25554.72333333333,,,27986,27986,78ef12cc,2,0.9133333333333333,penalized,25,27986,27986,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,27160.456666666665,25905.553333333333,,,27986,27986,78ef12cc,2,0.9266666666666666,penalized,30,27986,27986,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,26692.03,24987.293333333335,,,27986,27986,78ef12cc,2,0.8933333333333333,penalized,35,27986,27986,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,27086.15,25736.47333333333,,,27986,27986,78ef12cc,2,0.92,penalized,40,27986,27986,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,26955.343333333334,25460.176666666666,,,27986,27986,78ef12cc,2,0.91,penalized,45,27986,27986,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,27057.33,26005.68,,,27986,27986,78ef12cc,2,0.93,penalized,50,27986,27986,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,26809.536666666667,25280.68666666667,,,27986,27986,78ef12cc,2,0.9033333333333333,penalized,55,27986,27986,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,27205.44,26213.553333333333,,,27986,27986,78ef12cc,2,0.9366666666666666,penalized,60,27986,27986,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,26692.93,24889.89,,,27986,27986,78ef12cc,2,0.89,penalized,65,27986,27986,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,26865.123333333333,25168.996666666666,,,27986,27986,78ef12cc,2,0.9,penalized,70,27986,27986,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,26650.383333333335,24958.393333333333,,,27986,27986,78ef12cc,2,0.8933333333333333,penalized,75,27986,27986,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,26809.146666666667,24958.726666666666,,,27986,27986,78ef12cc,2,0.8933333333333333,penalized,80,27986,27986,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A036_rtr0.20_pm0.10_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
