algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,1115.5333333333333,992.6333333333333,,,24207,24207,22b98982,2,0.056666666666666664,penalized,0,24207,24207,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,282.4633333333333,282.4633333333333,,,24207,24207,22b98982,2,0.013333333333333334,penalized,5,24207,24207,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,410.03,410.03,,,24898,24898,22b98982,2,0.016666666666666666,penalized,10,24898,24898,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,1692.29,1341.51,,,25516,25516,22b98982,2,0.05333333333333334,penalized,15,25516,25516,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,23335.886666666665,19584.74,,,26539,26539,22b98982,2,0.7633333333333333,penalized,20,26539,26539,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,24951.28,22203.646666666667,,,27395,27395,22b98982,2,0.83,penalized,25,27395,27395,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26517.12,24536.096666666668,,,27695,27695,22b98982,2,0.8866666666666667,penalized,30,27695,27695,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26688.546666666665,24661.143333333333,,,27995,27995,22b98982,2,0.8866666666666667,penalized,35,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26511.08,24424.48,,,27995,27995,22b98982,2,0.8733333333333333,penalized,40,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27124.87,25463.56,,,27995,27995,22b98982,2,0.91,penalized,45,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26894.266666666666,24978.41,,,27995,27995,22b98982,2,0.8933333333333333,penalized,50,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26914.803333333333,25283.236666666668,,,27995,27995,22b98982,2,0.9033333333333333,penalized,55,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26971.633333333335,25382.133333333335,,,27995,27995,22b98982,2,0.9066666666666666,penalized,60,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27141.5,25935.95,,,27995,27995,22b98982,2,0.9266666666666666,penalized,65,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26825.97333333333,25008.866666666665,,,27995,27995,22b98982,2,0.8933333333333333,penalized,70,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27335.69,26309.163333333334,,,27995,27995,22b98982,2,0.94,penalized,75,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26943.69,24963.46,,,27995,27995,22b98982,2,0.8933333333333333,penalized,80,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26771.706666666665,25184.366666666665,,,27995,27995,22b98982,2,0.9,penalized,85,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26891.593333333334,25382.133333333335,,,27995,27995,22b98982,2,0.9066666666666666,penalized,90,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A037_rtr0.20_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
