algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,3957.556666666667,3570.616666666667,,,25425,25425,303e75bc,2,0.18,penalized,0,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,8335.31,7398.586666666667,,,26548,26548,303e75bc,2,0.30333333333333334,penalized,5,26548,26548,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,22550.56,16695.433333333334,,,28008,28008,303e75bc,2,0.6133333333333333,penalized,10,28008,28008,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,22421.213333333333,16373.393333333333,,,28591,28591,303e75bc,2,0.5833333333333334,penalized,15,28591,28591,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,23573.196666666667,18439.466666666667,,,29026,29026,303e75bc,2,0.6433333333333333,penalized,20,29026,29026,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,24408.746666666666,18299.903333333332,,,29369,29369,303e75bc,2,0.63,penalized,25,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,28199.373333333333,26110.203333333335,,,29369,29369,303e75bc,2,0.89,penalized,30,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,28350.153333333332,26720.463333333333,,,29369,29369,303e75bc,2,0.91,penalized,35,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,28024.27,26124.096666666668,,,29369,29369,303e75bc,2,0.89,penalized,40,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,27964.706666666665,26016.81333333333,,,29369,29369,303e75bc,2,0.8866666666666667,penalized,45,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,28420.256666666668,27015.7,,,29369,29369,303e75bc,2,0.92,penalized,50,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,28183.13,26120.743333333332,,,29369,29369,303e75bc,2,0.89,penalized,55,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,28098.96,26017.63,,,29369,29369,303e75bc,2,0.8866666666666667,penalized,60,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,28495.6,27000.016666666666,,,29369,29369,303e75bc,2,0.92,penalized,65,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,28501.146666666667,26722.166666666668,,,29369,29369,303e75bc,2,0.91,penalized,70,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,28435.47333333333,26919.173333333332,,,29369,29369,303e75bc,2,0.9166666666666666,penalized,75,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,28433.356666666667,26823.68666666667,,,29369,29369,303e75bc,2,0.9133333333333333,penalized,80,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A038_rtr0.20_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
