algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,6bd8c98b,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A039_rtr0.20_pm0.10_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,521.99,408.02666666666664,,,25193,25193,6bd8c98b,2,0.016666666666666666,penalized,5,25193,25193,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A039_rtr0.20_pm0.10_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,1697.0833333333333,1550.07,,,26222,26222,6bd8c98b,2,0.06,penalized,10,26222,26222,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A039_rtr0.20_pm0.10_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,23152.616666666665,17441.73,,,27618,27618,6bd8c98b,2,0.6533333333333333,penalized,15,27618,27618,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A039_rtr0.20_pm0.10_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,21011.07,13126.22,,,28385,28385,6bd8c98b,2,0.4766666666666667,penalized,20,28385,28385,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A039_rtr0.20_pm0.10_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,24235.773333333334,17992.79,,,28668,28668,6bd8c98b,2,0.6333333333333333,penalized,25,28668,28668,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A039_rtr0.20_pm0.10_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,26257.453333333335,22052.406666666666,,,29006,29006,6bd8c98b,2,0.77,penalized,30,29006,29006,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A039_rtr0.20_pm0.10_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,25291.58,19778.43666666667,,,29006,29006,6bd8c98b,2,0.6833333333333333,penalized,35,29006,29006,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A039_rtr0.20_pm0.10_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27126.923333333332,23469.303333333333,,,29006,29006,6bd8c98b,2,0.81,penalized,40,29006,29006,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A039_rtr0.20_pm0.10_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,27644.603333333333,25393.58,,,29006,29006,6bd8c98b,2,0.8766666666666667,penalized,45,29006,29006,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.2,strict,A039_rtr0.20_pm0.10_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
