algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,4498aacf,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1742.86,179.85333333333332,,,24896,24896,4498aacf,2,0.01,penalized,5,24896,24896,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1565.67,164.25,,,24896,24896,4498aacf,2,0.006666666666666667,penalized,10,24896,24896,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2375.5933333333332,164.25,,,24896,24896,4498aacf,2,0.006666666666666667,penalized,15,24896,24896,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,3073.576666666667,243.83,,,24896,24896,4498aacf,2,0.01,penalized,20,24896,24896,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2625.9533333333334,164.48,,,24896,24896,4498aacf,2,0.006666666666666667,penalized,25,24896,24896,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,3282.41,169.06,,,25359,25359,4498aacf,2,0.006666666666666667,penalized,30,25359,25359,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2076.4933333333333,169.06,,,25359,25359,4498aacf,2,0.006666666666666667,penalized,35,25359,25359,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2201.01,335.75,,,25359,25359,4498aacf,2,0.013333333333333334,penalized,40,25359,25359,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2184.61,231.12,,,25359,25359,4498aacf,2,0.01,penalized,45,25359,25359,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2034.0433333333333,169.06,,,25359,25359,4498aacf,2,0.006666666666666667,penalized,50,25359,25359,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1718.7633333333333,169.06,,,25359,25359,4498aacf,2,0.006666666666666667,penalized,55,25359,25359,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2343.3766666666666,169.06,,,25359,25359,4498aacf,2,0.006666666666666667,penalized,60,25359,25359,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2364.846666666667,250.16,,,25359,25359,4498aacf,2,0.01,penalized,65,25359,25359,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1918.31,169.06,,,25359,25359,4498aacf,2,0.006666666666666667,penalized,70,25359,25359,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2091.0266666666666,169.06,,,25359,25359,4498aacf,2,0.006666666666666667,penalized,75,25359,25359,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2737.9266666666667,218.58,,,25359,25359,4498aacf,2,0.01,penalized,80,25359,25359,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2815.94,224.21666666666667,,,25359,25359,4498aacf,2,0.01,penalized,85,25359,25359,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A040_rtr0.20_pm0.10_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
