algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,eb3b127a,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A041_rtr0.20_pm0.10_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,234.89666666666668,149.88333333333333,,,24896,24896,eb3b127a,2,0.006666666666666667,penalized,5,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A041_rtr0.20_pm0.10_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,250.64,149.88333333333333,,,24896,24896,eb3b127a,2,0.006666666666666667,penalized,10,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A041_rtr0.20_pm0.10_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,319.69,151.37666666666667,,,24896,24896,eb3b127a,2,0.006666666666666667,penalized,15,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A041_rtr0.20_pm0.10_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,251.28333333333333,163.35,,,24896,24896,eb3b127a,2,0.006666666666666667,penalized,20,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A041_rtr0.20_pm0.10_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,261.4533333333333,163.35,,,24896,24896,eb3b127a,2,0.006666666666666667,penalized,25,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A041_rtr0.20_pm0.10_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,243.83666666666667,163.35,,,24896,24896,eb3b127a,2,0.006666666666666667,penalized,30,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A041_rtr0.20_pm0.10_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,404.72,163.35,,,24896,24896,eb3b127a,2,0.006666666666666667,penalized,35,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A041_rtr0.20_pm0.10_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,303.79333333333335,240.19333333333333,,,24896,24896,eb3b127a,2,0.01,penalized,40,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A041_rtr0.20_pm0.10_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,256.6166666666667,163.35,,,24896,24896,eb3b127a,2,0.006666666666666667,penalized,45,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A041_rtr0.20_pm0.10_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,242.07,163.35,,,24896,24896,eb3b127a,2,0.006666666666666667,penalized,50,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A041_rtr0.20_pm0.10_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,366.44666666666666,163.35,,,24896,24896,eb3b127a,2,0.006666666666666667,penalized,55,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A041_rtr0.20_pm0.10_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,649.55,163.35,,,24896,24896,eb3b127a,2,0.006666666666666667,penalized,60,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A041_rtr0.20_pm0.10_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
