algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,3957.556666666667,3570.616666666667,,,25425,25425,1b2bdc00,2,0.18,penalized,0,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A042_rtr0.20_pm0.10_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3782.63,297.00333333333333,,,25425,25425,1b2bdc00,2,0.013333333333333334,penalized,5,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A042_rtr0.20_pm0.10_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2919.8733333333334,169.5,,,25425,25425,1b2bdc00,2,0.006666666666666667,penalized,10,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A042_rtr0.20_pm0.10_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3457.0433333333335,243.02666666666667,,,25425,25425,1b2bdc00,2,0.01,penalized,15,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A042_rtr0.20_pm0.10_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3293.42,169.5,,,25425,25425,1b2bdc00,2,0.006666666666666667,penalized,20,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A042_rtr0.20_pm0.10_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2997.693333333333,215.60333333333332,,,25425,25425,1b2bdc00,2,0.01,penalized,25,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A042_rtr0.20_pm0.10_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2869.3133333333335,169.5,,,25425,25425,1b2bdc00,2,0.006666666666666667,penalized,30,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A042_rtr0.20_pm0.10_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2393.6366666666668,327.6933333333333,,,25708,25708,1b2bdc00,2,0.013333333333333334,penalized,35,25708,25708,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A042_rtr0.20_pm0.10_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2785.0533333333333,252.30666666666667,,,25708,25708,1b2bdc00,2,0.01,penalized,40,25708,25708,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A042_rtr0.20_pm0.10_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2388.7766666666666,170.44333333333333,,,25708,25708,1b2bdc00,2,0.006666666666666667,penalized,45,25708,25708,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A042_rtr0.20_pm0.10_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2762.45,339.18,,,25708,25708,1b2bdc00,2,0.013333333333333334,penalized,50,25708,25708,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A042_rtr0.20_pm0.10_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
