algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,d2f027ac,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A043_rtr0.20_pm0.10_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,490.9266666666667,241.26333333333332,,,25193,25193,d2f027ac,2,0.01,penalized,5,25193,25193,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A043_rtr0.20_pm0.10_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,420.71,167.95333333333335,,,25193,25193,d2f027ac,2,0.006666666666666667,penalized,10,25193,25193,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A043_rtr0.20_pm0.10_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,384.9633333333333,167.95333333333335,,,25193,25193,d2f027ac,2,0.006666666666666667,penalized,15,25193,25193,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A043_rtr0.20_pm0.10_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,342.58666666666664,249.22333333333333,,,25193,25193,d2f027ac,2,0.01,penalized,20,25193,25193,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A043_rtr0.20_pm0.10_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,342.73,167.95333333333335,,,25193,25193,d2f027ac,2,0.006666666666666667,penalized,25,25193,25193,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A043_rtr0.20_pm0.10_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,475.92,237.77666666666667,,,25193,25193,d2f027ac,2,0.01,penalized,30,25193,25193,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A043_rtr0.20_pm0.10_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,352.9066666666667,167.95333333333335,,,25193,25193,d2f027ac,2,0.006666666666666667,penalized,35,25193,25193,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A043_rtr0.20_pm0.10_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,167.95333333333335,167.95333333333335,,,25193,25193,d2f027ac,2,0.006666666666666667,penalized,40,25193,25193,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A043_rtr0.20_pm0.10_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,311.24666666666667,168.46333333333334,,,25346,25346,d2f027ac,2,0.006666666666666667,penalized,45,25346,25346,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.2,strict,A043_rtr0.20_pm0.10_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
