algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,1115.5333333333333,992.6333333333333,,,24207,24207,2bb54998,2,0.056666666666666664,penalized,0,24207,24207,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A044_rtr0.20_pm0.10_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1162.3666666666666,146.62666666666667,,,24207,24207,2bb54998,2,0.006666666666666667,penalized,5,24207,24207,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A044_rtr0.20_pm0.10_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1374.7466666666667,146.62666666666667,,,24207,24207,2bb54998,2,0.006666666666666667,penalized,10,24207,24207,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A044_rtr0.20_pm0.10_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1781.42,155.01333333333332,,,24207,24207,2bb54998,2,0.006666666666666667,penalized,15,24207,24207,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A044_rtr0.20_pm0.10_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1563.2333333333333,155.01333333333332,,,24207,24207,2bb54998,2,0.006666666666666667,penalized,20,24207,24207,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A044_rtr0.20_pm0.10_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1722.94,155.01333333333332,,,24207,24207,2bb54998,2,0.006666666666666667,penalized,25,24207,24207,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A044_rtr0.20_pm0.10_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1477.3766666666668,155.01333333333332,,,24207,24207,2bb54998,2,0.006666666666666667,penalized,30,24207,24207,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A044_rtr0.20_pm0.10_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1469.44,155.01333333333332,,,24207,24207,2bb54998,2,0.006666666666666667,penalized,35,24207,24207,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A044_rtr0.20_pm0.10_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1399.1933333333334,213.29,,,24207,24207,2bb54998,2,0.01,penalized,40,24207,24207,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A044_rtr0.20_pm0.10_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1612.37,159.09333333333333,,,24207,24207,2bb54998,2,0.006666666666666667,penalized,45,24207,24207,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A044_rtr0.20_pm0.10_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1441.01,195.63333333333333,,,24207,24207,2bb54998,2,0.01,penalized,50,24207,24207,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A044_rtr0.20_pm0.10_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1558.57,159.09333333333333,,,24207,24207,2bb54998,2,0.006666666666666667,penalized,55,24207,24207,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A044_rtr0.20_pm0.10_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
ga,1315.0566666666666,159.09333333333333,,,24207,24207,2bb54998,2,0.006666666666666667,penalized,60,24207,24207,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A044_rtr0.20_pm0.10_prs0.40_init0.2_pc0.7,0,tournament,0.25,5
