algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,bec04674,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A045_rtr0.20_pm0.10_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,326.31333333333333,149.88333333333333,,,24896,24896,bec04674,2,0.006666666666666667,penalized,5,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A045_rtr0.20_pm0.10_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,256.77,149.88333333333333,,,24896,24896,bec04674,2,0.006666666666666667,penalized,10,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A045_rtr0.20_pm0.10_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,214.51,149.88333333333333,,,24896,24896,bec04674,2,0.006666666666666667,penalized,15,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A045_rtr0.20_pm0.10_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,229.43666666666667,149.88333333333333,,,24896,24896,bec04674,2,0.006666666666666667,penalized,20,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A045_rtr0.20_pm0.10_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,304.22333333333336,149.88333333333333,,,24896,24896,bec04674,2,0.006666666666666667,penalized,25,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A045_rtr0.20_pm0.10_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,275.00333333333333,149.88333333333333,,,24896,24896,bec04674,2,0.006666666666666667,penalized,30,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A045_rtr0.20_pm0.10_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,324.12333333333333,82.98666666666666,,,24896,24896,bec04674,2,0.0033333333333333335,penalized,35,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A045_rtr0.20_pm0.10_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,238.63,82.98666666666666,,,24896,24896,bec04674,2,0.0033333333333333335,penalized,40,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A045_rtr0.20_pm0.10_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,232.15333333333334,82.98666666666666,,,24896,24896,bec04674,2,0.0033333333333333335,penalized,45,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A045_rtr0.20_pm0.10_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,295.3233333333333,82.98666666666666,,,24896,24896,bec04674,2,0.0033333333333333335,penalized,50,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A045_rtr0.20_pm0.10_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,373.2633333333333,82.98666666666666,,,24896,24896,bec04674,2,0.0033333333333333335,penalized,55,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A045_rtr0.20_pm0.10_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,319.58666666666664,82.98666666666666,,,24896,24896,bec04674,2,0.0033333333333333335,penalized,60,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A045_rtr0.20_pm0.10_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
