algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,962ac64c,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A046_rtr0.20_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1843.9933333333333,164.99,,,25193,25193,962ac64c,2,0.006666666666666667,penalized,5,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A046_rtr0.20_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1512.8833333333334,289.62666666666667,,,25193,25193,962ac64c,2,0.013333333333333334,penalized,10,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A046_rtr0.20_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1278.3433333333332,166.46,,,25193,25193,962ac64c,2,0.006666666666666667,penalized,15,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A046_rtr0.20_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1056.09,197.39,,,25193,25193,962ac64c,2,0.01,penalized,20,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A046_rtr0.20_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1460.51,166.46,,,25193,25193,962ac64c,2,0.006666666666666667,penalized,25,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A046_rtr0.20_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1271.0733333333333,202.39,,,25193,25193,962ac64c,2,0.01,penalized,30,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A046_rtr0.20_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1391.9033333333334,206.52333333333334,,,25193,25193,962ac64c,2,0.01,penalized,35,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A046_rtr0.20_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1862.9666666666667,166.46,,,25193,25193,962ac64c,2,0.006666666666666667,penalized,40,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A046_rtr0.20_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,2216.9733333333334,268.67,,,25193,25193,962ac64c,2,0.013333333333333334,penalized,45,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A046_rtr0.20_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1518.74,166.46,,,25193,25193,962ac64c,2,0.006666666666666667,penalized,50,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A046_rtr0.20_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1595.3233333333333,217.62666666666667,,,25193,25193,962ac64c,2,0.01,penalized,55,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A046_rtr0.20_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1406.02,222.34,,,25193,25193,962ac64c,2,0.01,penalized,60,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.2,strict,A046_rtr0.20_pm0.10_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
