algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,c16f6f40,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,2842.1833333333334,1640.0866666666666,,,24717,24717,c16f6f40,2,0.07333333333333333,penalized,5,24717,24717,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,21676.166666666668,17110.693333333333,,,25705,25705,c16f6f40,2,0.6866666666666666,penalized,10,25705,25705,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,21076.09,15171.74,,,26048,26048,c16f6f40,2,0.59,penalized,15,26048,26048,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,20021.68,15675.573333333334,,,26048,26048,c16f6f40,2,0.6033333333333334,penalized,20,26048,26048,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,23773.96,20389.97333333333,,,26348,26348,c16f6f40,2,0.7766666666666666,penalized,25,26348,26348,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,23536.153333333332,19751.97,,,26348,26348,c16f6f40,2,0.75,penalized,30,26348,26348,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,24167.04,20977.89,,,26348,26348,c16f6f40,2,0.7966666666666666,penalized,35,26348,26348,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,24261.29,21420.256666666668,,,26348,26348,c16f6f40,2,0.8133333333333334,penalized,40,26348,26348,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,24270.806666666667,21338.68,,,26348,26348,c16f6f40,2,0.81,penalized,45,26348,26348,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,24289.57,20455.146666666667,,,26348,26348,c16f6f40,2,0.7766666666666666,penalized,50,26348,26348,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,24314.986666666668,21781.013333333332,,,26348,26348,c16f6f40,2,0.8266666666666667,penalized,55,26348,26348,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,23834.84,20463.613333333335,,,26348,26348,c16f6f40,2,0.7766666666666666,penalized,60,26348,26348,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,23898.456666666665,20372.5,,,26348,26348,c16f6f40,2,0.7733333333333333,penalized,65,26348,26348,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,24332.833333333332,21150.086666666666,,,26348,26348,c16f6f40,2,0.8033333333333333,penalized,70,26348,26348,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,24334.24,21164.166666666668,,,26348,26348,c16f6f40,2,0.8033333333333333,penalized,75,26348,26348,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
ga,24265.89,21341.88,,,26348,26348,c16f6f40,2,0.81,penalized,80,26348,26348,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A048_rtr0.20_pm0.20_prs0.00_init0.2_pc0.7,2,tournament,0.25,5
