algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,9b6a26e3,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,633.9633333333334,633.9633333333334,,,24226,24226,9b6a26e3,2,0.02666666666666667,penalized,5,24226,24226,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,2464.5033333333336,1041.7666666666667,,,24643,24643,9b6a26e3,2,0.043333333333333335,penalized,10,24643,24643,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,17186.55,10612.586666666666,,,25280,25280,9b6a26e3,2,0.43333333333333335,penalized,15,25280,25280,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,18868.84,11908.78,,,26176,26176,9b6a26e3,2,0.47333333333333333,penalized,20,26176,26176,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,20623.136666666665,14912.916666666666,,,26644,26644,9b6a26e3,2,0.5733333333333334,penalized,25,26644,26644,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,23799.356666666667,19880.763333333332,,,27413,27413,9b6a26e3,2,0.74,penalized,30,27413,27413,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,20781.146666666667,12757.233333333334,,,27413,27413,9b6a26e3,2,0.47,penalized,35,27413,27413,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,22297.236666666668,14992.496666666666,,,27756,27756,9b6a26e3,2,0.5466666666666666,penalized,40,27756,27756,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,25614.926666666666,21996.933333333334,,,27756,27756,9b6a26e3,2,0.7933333333333333,penalized,45,27756,27756,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,25606.213333333333,22567.34,,,27756,27756,9b6a26e3,2,0.8133333333333334,penalized,50,27756,27756,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,26106.07,23395.413333333334,,,27756,27756,9b6a26e3,2,0.8433333333333334,penalized,55,27756,27756,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,25620.9,22203.093333333334,,,27756,27756,9b6a26e3,2,0.8,penalized,60,27756,27756,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,25514.376666666667,21812.21,,,27756,27756,9b6a26e3,2,0.7866666666666666,penalized,65,27756,27756,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,25047.283333333333,21621.543333333335,,,27756,27756,9b6a26e3,2,0.78,penalized,70,27756,27756,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,25804.693333333333,22841.136666666665,,,27756,27756,9b6a26e3,2,0.8233333333333334,penalized,75,27756,27756,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,25444.626666666667,22288.71,,,27756,27756,9b6a26e3,2,0.8033333333333333,penalized,80,27756,27756,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,25451.806666666667,22175.056666666667,,,27756,27756,9b6a26e3,2,0.8,penalized,85,27756,27756,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,25667.516666666666,22745.78,,,27756,27756,9b6a26e3,2,0.82,penalized,90,27756,27756,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
ga,25838.51,22660.22333333333,,,27756,27756,9b6a26e3,2,0.8166666666666667,penalized,95,27756,27756,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A049_rtr0.20_pm0.20_prs0.00_init0.2_pc0.9,2,tournament,0.25,5
