algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4257.903333333334,3776.3133333333335,,,23592,23592,c774eab8,2,0.2,penalized,0,23592,23592,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A050_rtr0.20_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,5749.16,4764.126666666667,,,24085,24085,c774eab8,2,0.21,penalized,5,24085,24085,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A050_rtr0.20_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,20423.146666666667,15902.456666666667,,,24841,24841,c774eab8,2,0.6566666666666666,penalized,10,24841,24841,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A050_rtr0.20_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22103.87,18396.363333333335,,,24974,24974,c774eab8,2,0.74,penalized,15,24974,24974,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A050_rtr0.20_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,21979.71,17348.79,,,24974,24974,c774eab8,2,0.6966666666666667,penalized,20,24974,24974,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A050_rtr0.20_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,21694.316666666666,16675.216666666667,,,24974,24974,c774eab8,2,0.67,penalized,25,24974,24974,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A050_rtr0.20_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22446.896666666667,18361.486666666668,,,24974,24974,c774eab8,2,0.7366666666666667,penalized,30,24974,24974,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A050_rtr0.20_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22814.86,19029.423333333332,,,24974,24974,c774eab8,2,0.7633333333333333,penalized,35,24974,24974,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A050_rtr0.20_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23109.27666666667,20047.696666666667,,,24974,24974,c774eab8,2,0.8033333333333333,penalized,40,24974,24974,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A050_rtr0.20_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23317.086666666666,20145.693333333333,,,24974,24974,c774eab8,2,0.8066666666666666,penalized,45,24974,24974,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A050_rtr0.20_pm0.20_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
