algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,38985d38,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A051_rtr0.20_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,289.98333333333335,167.95333333333335,,,25193,25193,38985d38,2,0.006666666666666667,penalized,5,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A051_rtr0.20_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,490.66333333333336,422.47333333333336,,,25938,25938,38985d38,2,0.016666666666666666,penalized,10,25938,25938,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A051_rtr0.20_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,3833.0266666666666,2082.5033333333336,,,26726,26726,38985d38,2,0.08,penalized,15,26726,26726,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A051_rtr0.20_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,23188.59,17306.21,,,27812,27812,38985d38,2,0.6433333333333333,penalized,20,27812,27812,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A051_rtr0.20_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,25602.726666666666,20538.123333333333,,,28655,28655,38985d38,2,0.73,penalized,25,28655,28655,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A051_rtr0.20_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,26572.726666666666,22602.703333333335,,,28663,28663,38985d38,2,0.79,penalized,30,28663,28663,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A051_rtr0.20_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,26860.99,23403.916666666668,,,28663,28663,38985d38,2,0.8166666666666667,penalized,35,28663,28663,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A051_rtr0.20_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,25998.98,22220.603333333333,,,28663,28663,38985d38,2,0.7766666666666666,penalized,40,28663,28663,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A051_rtr0.20_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,26554.306666666667,22440.306666666667,,,28663,28663,38985d38,2,0.7866666666666666,penalized,45,28663,28663,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.2,strict,A051_rtr0.20_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
