algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,1fc839ea,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1859.1333333333334,165.63333333333333,,,24896,24896,1fc839ea,2,0.006666666666666667,penalized,5,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1785.9733333333334,297.16,,,24896,24896,1fc839ea,2,0.013333333333333334,penalized,10,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2601.633333333333,226.77333333333334,,,24896,24896,1fc839ea,2,0.01,penalized,15,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1945.52,333.4033333333333,,,25194,25194,1fc839ea,2,0.013333333333333334,penalized,20,25194,25194,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2116.77,244.79,,,25194,25194,1fc839ea,2,0.01,penalized,25,25194,25194,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1396.2166666666667,167.77,,,25194,25194,1fc839ea,2,0.006666666666666667,penalized,30,25194,25194,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1399.58,167.77,,,25194,25194,1fc839ea,2,0.006666666666666667,penalized,35,25194,25194,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2378.9,167.77,,,25194,25194,1fc839ea,2,0.006666666666666667,penalized,40,25194,25194,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1983.6,167.77,,,25194,25194,1fc839ea,2,0.006666666666666667,penalized,45,25194,25194,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1719.6733333333334,167.77,,,25194,25194,1fc839ea,2,0.006666666666666667,penalized,50,25194,25194,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1655.23,168.18666666666667,,,25262,25262,1fc839ea,2,0.006666666666666667,penalized,55,25262,25262,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2252.99,168.18666666666667,,,25262,25262,1fc839ea,2,0.006666666666666667,penalized,60,25262,25262,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1548.6666666666667,168.18666666666667,,,25262,25262,1fc839ea,2,0.006666666666666667,penalized,65,25262,25262,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1825.8266666666666,251.33333333333334,,,25262,25262,1fc839ea,2,0.01,penalized,70,25262,25262,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2259.94,168.18666666666667,,,25262,25262,1fc839ea,2,0.006666666666666667,penalized,75,25262,25262,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2526.4366666666665,252.16666666666666,,,25262,25262,1fc839ea,2,0.01,penalized,80,25262,25262,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2041.4433333333334,252.16666666666666,,,25262,25262,1fc839ea,2,0.01,penalized,85,25262,25262,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.2,strict,A052_rtr0.20_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
