algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,28ca2e92,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A056_rtr0.20_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1346.9933333333333,149.88333333333333,,,24896,24896,28ca2e92,2,0.006666666666666667,penalized,5,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A056_rtr0.20_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1227.26,149.88333333333333,,,24896,24896,28ca2e92,2,0.006666666666666667,penalized,10,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A056_rtr0.20_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1123.91,149.88333333333333,,,24896,24896,28ca2e92,2,0.006666666666666667,penalized,15,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A056_rtr0.20_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1281.99,261.3666666666667,,,24896,24896,28ca2e92,2,0.013333333333333334,penalized,20,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A056_rtr0.20_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1248.5133333333333,82.98666666666666,,,24896,24896,28ca2e92,2,0.0033333333333333335,penalized,25,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A056_rtr0.20_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1525.7633333333333,160.13,,,24896,24896,28ca2e92,2,0.006666666666666667,penalized,30,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A056_rtr0.20_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1368.6233333333332,160.13,,,24896,24896,28ca2e92,2,0.006666666666666667,penalized,35,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A056_rtr0.20_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1404.4633333333334,160.13,,,24896,24896,28ca2e92,2,0.006666666666666667,penalized,40,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A056_rtr0.20_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1564.92,160.13,,,24896,24896,28ca2e92,2,0.006666666666666667,penalized,45,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A056_rtr0.20_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1403.1066666666666,160.13,,,24896,24896,28ca2e92,2,0.006666666666666667,penalized,50,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A056_rtr0.20_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1160.41,160.13,,,24896,24896,28ca2e92,2,0.006666666666666667,penalized,55,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A056_rtr0.20_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1360.32,160.13,,,24896,24896,28ca2e92,2,0.006666666666666667,penalized,60,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A056_rtr0.20_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
