algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,1115.5333333333333,992.6333333333333,,,24207,24207,9ecbe3f1,2,0.056666666666666664,penalized,0,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A057_rtr0.20_pm0.20_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,247.99666666666667,146.62666666666667,,,24207,24207,9ecbe3f1,2,0.006666666666666667,penalized,5,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A057_rtr0.20_pm0.20_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,324.75666666666666,146.62666666666667,,,24207,24207,9ecbe3f1,2,0.006666666666666667,penalized,10,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A057_rtr0.20_pm0.20_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,242.78333333333333,158.95,,,24207,24207,9ecbe3f1,2,0.006666666666666667,penalized,15,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A057_rtr0.20_pm0.20_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,451.9433333333333,158.95,,,24207,24207,9ecbe3f1,2,0.006666666666666667,penalized,20,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A057_rtr0.20_pm0.20_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,352.6566666666667,158.95,,,24207,24207,9ecbe3f1,2,0.006666666666666667,penalized,25,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A057_rtr0.20_pm0.20_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,323.0466666666667,158.95,,,24207,24207,9ecbe3f1,2,0.006666666666666667,penalized,30,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A057_rtr0.20_pm0.20_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,612.8033333333333,158.95,,,24207,24207,9ecbe3f1,2,0.006666666666666667,penalized,35,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A057_rtr0.20_pm0.20_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,481.42333333333335,158.95,,,24207,24207,9ecbe3f1,2,0.006666666666666667,penalized,40,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A057_rtr0.20_pm0.20_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,274.68333333333334,158.95,,,24207,24207,9ecbe3f1,2,0.006666666666666667,penalized,45,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A057_rtr0.20_pm0.20_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,216.32,158.95,,,24207,24207,9ecbe3f1,2,0.006666666666666667,penalized,50,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A057_rtr0.20_pm0.20_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,315.4533333333333,158.95,,,24207,24207,9ecbe3f1,2,0.006666666666666667,penalized,55,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A057_rtr0.20_pm0.20_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
ga,374.41,158.95,,,24207,24207,9ecbe3f1,2,0.006666666666666667,penalized,60,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A057_rtr0.20_pm0.20_prs0.40_init0.2_pc0.9,0,tournament,0.25,5
