algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,ccec72e6,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A058_rtr0.20_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1567.3766666666668,164.99,,,25193,25193,ccec72e6,2,0.006666666666666667,penalized,5,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A058_rtr0.20_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1416.7333333333333,164.99,,,25193,25193,ccec72e6,2,0.006666666666666667,penalized,10,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A058_rtr0.20_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1394.84,288.18,,,25193,25193,ccec72e6,2,0.013333333333333334,penalized,15,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A058_rtr0.20_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1831.9,248.01,,,25193,25193,ccec72e6,2,0.01,penalized,20,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A058_rtr0.20_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1647.4766666666667,203.86666666666667,,,25193,25193,ccec72e6,2,0.01,penalized,25,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A058_rtr0.20_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1326.1566666666668,166.99666666666667,,,25193,25193,ccec72e6,2,0.006666666666666667,penalized,30,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A058_rtr0.20_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1414.0466666666666,231.49666666666667,,,25193,25193,ccec72e6,2,0.01,penalized,35,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A058_rtr0.20_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1635.32,166.99666666666667,,,25193,25193,ccec72e6,2,0.006666666666666667,penalized,40,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A058_rtr0.20_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1172.2866666666666,166.99666666666667,,,25193,25193,ccec72e6,2,0.006666666666666667,penalized,45,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A058_rtr0.20_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1605.7566666666667,166.99666666666667,,,25193,25193,ccec72e6,2,0.006666666666666667,penalized,50,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A058_rtr0.20_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1366.6866666666667,212.21666666666667,,,25193,25193,ccec72e6,2,0.01,penalized,55,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A058_rtr0.20_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1348.7733333333333,248.73,,,25193,25193,ccec72e6,2,0.01,penalized,60,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A058_rtr0.20_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
