algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,c090ca13,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A059_rtr0.20_pm0.20_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,357.69,164.99,,,25193,25193,c090ca13,2,0.006666666666666667,penalized,5,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A059_rtr0.20_pm0.20_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,270.08,164.99,,,25193,25193,c090ca13,2,0.006666666666666667,penalized,10,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A059_rtr0.20_pm0.20_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,242.5,164.99,,,25193,25193,c090ca13,2,0.006666666666666667,penalized,15,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A059_rtr0.20_pm0.20_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,508.05,164.99,,,25193,25193,c090ca13,2,0.006666666666666667,penalized,20,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A059_rtr0.20_pm0.20_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,241.61,164.99,,,25193,25193,c090ca13,2,0.006666666666666667,penalized,25,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A059_rtr0.20_pm0.20_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,244.01666666666668,164.99,,,25193,25193,c090ca13,2,0.006666666666666667,penalized,30,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A059_rtr0.20_pm0.20_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,267.55333333333334,164.99,,,25193,25193,c090ca13,2,0.006666666666666667,penalized,35,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A059_rtr0.20_pm0.20_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,236.71,164.99,,,25193,25193,c090ca13,2,0.006666666666666667,penalized,40,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A059_rtr0.20_pm0.20_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,282.2033333333333,164.99,,,25193,25193,c090ca13,2,0.006666666666666667,penalized,45,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A059_rtr0.20_pm0.20_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,291.6,164.99,,,25193,25193,c090ca13,2,0.006666666666666667,penalized,50,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A059_rtr0.20_pm0.20_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,338.39666666666665,164.99,,,25193,25193,c090ca13,2,0.006666666666666667,penalized,55,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A059_rtr0.20_pm0.20_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,314.62,237.14,,,25193,25193,c090ca13,2,0.01,penalized,60,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.2,strict,A059_rtr0.20_pm0.20_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
