algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,1115.5333333333333,992.6333333333333,,,24207,24207,ffc6e301,2,0.056666666666666664,penalized,0,24207,24207,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,3099.923333333333,1189.4166666666667,,,24782,24782,ffc6e301,2,0.05333333333333334,penalized,5,24782,24782,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,19072.94,11477.15,,,26015,26015,ffc6e301,2,0.46,penalized,10,26015,26015,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,19662.38,12967.536666666667,,,27023,27023,ffc6e301,2,0.5,penalized,15,27023,27023,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,20080.93666666667,12263.06,,,27641,27641,ffc6e301,2,0.4533333333333333,penalized,20,27641,27641,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,22384.396666666667,15317.713333333333,,,28522,28522,ffc6e301,2,0.5533333333333333,penalized,25,28522,28522,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24659.43666666667,18462.57,,,28797,28797,ffc6e301,2,0.6433333333333333,penalized,30,28797,28797,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,25029.25,19643.306666666667,,,28797,28797,ffc6e301,2,0.6833333333333333,penalized,35,28797,28797,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24767.49,18225.6,,,28797,28797,ffc6e301,2,0.6333333333333333,penalized,40,28797,28797,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24897.056666666667,18962.943333333333,,,28797,28797,ffc6e301,2,0.66,penalized,45,28797,28797,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24541.986666666668,18495.766666666666,,,28797,28797,ffc6e301,2,0.6433333333333333,penalized,50,28797,28797,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24845.22333333333,18523.643333333333,,,28797,28797,ffc6e301,2,0.6433333333333333,penalized,55,28797,28797,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24775.46,17847.073333333334,,,28797,28797,ffc6e301,2,0.62,penalized,60,28797,28797,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,25078.103333333333,18402.446666666667,,,28797,28797,ffc6e301,2,0.64,penalized,65,28797,28797,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24878.126666666667,18877.803333333333,,,28797,28797,ffc6e301,2,0.6566666666666666,penalized,70,28797,28797,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,25136.453333333335,19159.18,,,28797,28797,ffc6e301,2,0.6666666666666666,penalized,75,28797,28797,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24756.376666666667,18513.46,,,28797,28797,ffc6e301,2,0.6433333333333333,penalized,80,28797,28797,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24646.23,18303.79,,,28797,28797,ffc6e301,2,0.6366666666666667,penalized,85,28797,28797,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A060_rtr0.20_pm0.35_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
