algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,bcb24e84,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A061_rtr0.20_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,209.98,82.98666666666666,,,24896,24896,bcb24e84,2,0.0033333333333333335,penalized,5,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A061_rtr0.20_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,154.28,82.98666666666666,,,24896,24896,bcb24e84,2,0.0033333333333333335,penalized,10,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A061_rtr0.20_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,492.55,419.83,,,25344,25344,bcb24e84,2,0.016666666666666666,penalized,15,25344,25344,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A061_rtr0.20_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,6149.326666666667,2191.8633333333332,,,25807,25807,bcb24e84,2,0.08666666666666667,penalized,20,25807,25807,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A061_rtr0.20_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,21877.613333333335,15832.856666666667,,,26887,26887,bcb24e84,2,0.6066666666666667,penalized,25,26887,26887,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A061_rtr0.20_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,20437.583333333332,12749.73,,,27627,27627,bcb24e84,2,0.47333333333333333,penalized,30,27627,27627,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A061_rtr0.20_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,20257.316666666666,12376.523333333333,,,27643,27643,bcb24e84,2,0.45,penalized,35,27643,27643,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A061_rtr0.20_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,21721.983333333334,14051.33,,,27986,27986,bcb24e84,2,0.51,penalized,40,27986,27986,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A061_rtr0.20_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,23275.81,17263.513333333332,,,27986,27986,bcb24e84,2,0.62,penalized,45,27986,27986,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A061_rtr0.20_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,24324.76,18606.963333333333,,,27986,27986,bcb24e84,2,0.6666666666666666,penalized,50,27986,27986,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A061_rtr0.20_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,24547.493333333332,19180.566666666666,,,27986,27986,bcb24e84,2,0.6866666666666666,penalized,55,27986,27986,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A061_rtr0.20_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,23700.41,17904.81333333333,,,27986,27986,bcb24e84,2,0.64,penalized,60,27986,27986,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A061_rtr0.20_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,23493.896666666667,17339.806666666667,,,27986,27986,bcb24e84,2,0.62,penalized,65,27986,27986,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A061_rtr0.20_pm0.35_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
