algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4257.903333333334,3776.3133333333335,,,23592,23592,8c59cc81,2,0.2,penalized,0,23592,23592,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,5139.056666666666,3000.8566666666666,,,24639,24639,8c59cc81,2,0.13666666666666666,penalized,5,24639,24639,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,13807.086666666666,8030.863333333334,,,25904,25904,8c59cc81,2,0.32666666666666666,penalized,10,25904,25904,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,19421.653333333332,12917.94,,,26795,26795,8c59cc81,2,0.5033333333333333,penalized,15,26795,26795,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,19900.616666666665,12867.7,,,27195,27195,8c59cc81,2,0.4866666666666667,penalized,20,27195,27195,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23130.57,16138.96,,,27330,27330,8c59cc81,2,0.5933333333333334,penalized,25,27330,27330,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23260.883333333335,17823.98,,,27330,27330,8c59cc81,2,0.6533333333333333,penalized,30,27330,27330,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23077.99,17020.58,,,27330,27330,8c59cc81,2,0.6233333333333333,penalized,35,27330,27330,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23803.083333333332,18646.066666666666,,,27330,27330,8c59cc81,2,0.6833333333333333,penalized,40,27330,27330,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23182.703333333335,17613.696666666667,,,27330,27330,8c59cc81,2,0.6466666666666666,penalized,45,27330,27330,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23456.376666666667,18543.29,,,27330,27330,8c59cc81,2,0.68,penalized,50,27330,27330,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23860.443333333333,19326.943333333333,,,27330,27330,8c59cc81,2,0.71,penalized,55,27330,27330,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23370.356666666667,18367.533333333333,,,27330,27330,8c59cc81,2,0.6733333333333333,penalized,60,27330,27330,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23685.323333333334,18389.456666666665,,,27330,27330,8c59cc81,2,0.6733333333333333,penalized,65,27330,27330,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22529.466666666667,16442.35,,,27330,27330,8c59cc81,2,0.6033333333333334,penalized,70,27330,27330,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23468.316666666666,17994.976666666666,,,27330,27330,8c59cc81,2,0.66,penalized,75,27330,27330,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23554.656666666666,18277.943333333333,,,27330,27330,8c59cc81,2,0.67,penalized,80,27330,27330,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A062_rtr0.20_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
