algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,3957.556666666667,3570.616666666667,,,25425,25425,5efe19be,2,0.18,penalized,0,25425,25425,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,723.7,430.94,,,26194,26194,5efe19be,2,0.016666666666666666,penalized,5,26194,26194,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,359.44,263.74,,,26464,26464,5efe19be,2,0.01,penalized,10,26464,26464,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,228.28333333333333,177.94333333333333,,,26754,26754,5efe19be,2,0.006666666666666667,penalized,15,26754,26754,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,755.4233333333333,540.4133333333333,,,27392,27392,5efe19be,2,0.02,penalized,20,27392,27392,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,3441.4133333333334,909.2566666666667,,,27657,27657,5efe19be,2,0.03333333333333333,penalized,25,27657,27657,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,19260.426666666666,10225.316666666668,,,27982,27982,5efe19be,2,0.37333333333333335,penalized,30,27982,27982,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,22626.47333333333,14742.056666666667,,,28913,28913,5efe19be,2,0.5233333333333333,penalized,35,28913,28913,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,24101.396666666667,16886.23,,,28921,28921,5efe19be,2,0.5866666666666667,penalized,40,28921,28921,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,25178.92,17887.536666666667,,,28921,28921,5efe19be,2,0.62,penalized,45,28921,28921,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,24562.623333333333,17044.576666666668,,,28921,28921,5efe19be,2,0.59,penalized,50,28921,28921,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,25840.01,19762.683333333334,,,28921,28921,5efe19be,2,0.6833333333333333,penalized,55,28921,28921,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,25160.533333333333,19333.093333333334,,,28921,28921,5efe19be,2,0.67,penalized,60,28921,28921,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,25076.906666666666,18632.87,,,28921,28921,5efe19be,2,0.6466666666666666,penalized,65,28921,28921,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,25007.603333333333,18206.92,,,28921,28921,5efe19be,2,0.63,penalized,70,28921,28921,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,25248.763333333332,19332.42,,,28921,28921,5efe19be,2,0.67,penalized,75,28921,28921,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,25139.093333333334,18933.26,,,28921,28921,5efe19be,2,0.6566666666666666,penalized,80,28921,28921,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,25399.32,19355.02,,,28921,28921,5efe19be,2,0.67,penalized,85,28921,28921,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,24725.363333333335,18288.97333333333,,,28921,28921,5efe19be,2,0.6333333333333333,penalized,90,28921,28921,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,25412.083333333332,18902.81333333333,,,28921,28921,5efe19be,2,0.6566666666666666,penalized,95,28921,28921,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.2,strict,A063_rtr0.20_pm0.35_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
