algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,3957.556666666667,3570.616666666667,,,25425,25425,6a5f7bc4,2,0.18,penalized,0,25425,25425,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A066_rtr0.20_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2201.9266666666667,255.14,,,25542,25542,6a5f7bc4,2,0.01,penalized,5,25542,25542,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A066_rtr0.20_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2941.8166666666666,409.78333333333336,,,25542,25542,6a5f7bc4,2,0.016666666666666666,penalized,10,25542,25542,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A066_rtr0.20_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2865.0433333333335,170.36333333333334,,,25567,25567,6a5f7bc4,2,0.006666666666666667,penalized,15,25567,25567,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A066_rtr0.20_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2818.76,252.36333333333334,,,25567,25567,6a5f7bc4,2,0.01,penalized,20,25567,25567,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A066_rtr0.20_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2651.85,238.44666666666666,,,25842,25842,6a5f7bc4,2,0.01,penalized,25,25842,25842,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A066_rtr0.20_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2603.213333333333,243.79333333333332,,,25842,25842,6a5f7bc4,2,0.01,penalized,30,25842,25842,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A066_rtr0.20_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2532.06,256.01,,,25842,25842,6a5f7bc4,2,0.01,penalized,35,25842,25842,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A066_rtr0.20_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3629.2966666666666,171.36333333333334,,,25842,25842,6a5f7bc4,2,0.006666666666666667,penalized,40,25842,25842,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A066_rtr0.20_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3226.76,222.11333333333334,,,25842,25842,6a5f7bc4,2,0.01,penalized,45,25842,25842,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A066_rtr0.20_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2736.0333333333333,319.5966666666667,,,25842,25842,6a5f7bc4,2,0.013333333333333334,penalized,50,25842,25842,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A066_rtr0.20_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,3018.6133333333332,230.02666666666667,,,25842,25842,6a5f7bc4,2,0.01,penalized,55,25842,25842,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A066_rtr0.20_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
ga,2534.233333333333,172.28,,,25842,25842,6a5f7bc4,2,0.006666666666666667,penalized,60,25842,25842,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A066_rtr0.20_pm0.35_prs0.20_init1.0_pc0.7,0,tournament,0.25,5
