algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,3957.556666666667,3570.616666666667,,,25425,25425,1d3c7175,2,0.18,penalized,0,25425,25425,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A067_rtr0.20_pm0.35_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,540.6866666666666,169.44,,,25425,25425,1d3c7175,2,0.006666666666666667,penalized,5,25425,25425,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A067_rtr0.20_pm0.35_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,339.2866666666667,169.44,,,25425,25425,1d3c7175,2,0.006666666666666667,penalized,10,25425,25425,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A067_rtr0.20_pm0.35_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,219.02666666666667,169.44,,,25425,25425,1d3c7175,2,0.006666666666666667,penalized,15,25425,25425,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A067_rtr0.20_pm0.35_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,532.7466666666667,169.44,,,25425,25425,1d3c7175,2,0.006666666666666667,penalized,20,25425,25425,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A067_rtr0.20_pm0.35_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,323.58666666666664,252.48333333333332,,,25425,25425,1d3c7175,2,0.01,penalized,25,25425,25425,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A067_rtr0.20_pm0.35_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,339.61333333333334,255.04666666666665,,,25682,25682,1d3c7175,2,0.01,penalized,30,25682,25682,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A067_rtr0.20_pm0.35_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,333.41,170.35666666666665,,,25682,25682,1d3c7175,2,0.006666666666666667,penalized,35,25682,25682,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A067_rtr0.20_pm0.35_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,293.1566666666667,170.35666666666665,,,25682,25682,1d3c7175,2,0.006666666666666667,penalized,40,25682,25682,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A067_rtr0.20_pm0.35_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,394.33666666666664,170.35666666666665,,,25682,25682,1d3c7175,2,0.006666666666666667,penalized,45,25682,25682,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.2,strict,A067_rtr0.20_pm0.35_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
