algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,3b3ef069,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A070_rtr0.20_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1299.9866666666667,164.99,,,25193,25193,3b3ef069,2,0.006666666666666667,penalized,5,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A070_rtr0.20_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,2296.6,209.18333333333334,,,25193,25193,3b3ef069,2,0.01,penalized,10,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A070_rtr0.20_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,922.07,164.99,,,25193,25193,3b3ef069,2,0.006666666666666667,penalized,15,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A070_rtr0.20_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1468.9866666666667,164.99,,,25193,25193,3b3ef069,2,0.006666666666666667,penalized,20,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A070_rtr0.20_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1299.2866666666666,245.0,,,25193,25193,3b3ef069,2,0.01,penalized,25,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A070_rtr0.20_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1156.8,164.99,,,25193,25193,3b3ef069,2,0.006666666666666667,penalized,30,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A070_rtr0.20_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1338.5,201.51666666666668,,,25193,25193,3b3ef069,2,0.01,penalized,35,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A070_rtr0.20_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1898.21,164.99,,,25193,25193,3b3ef069,2,0.006666666666666667,penalized,40,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A070_rtr0.20_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1488.9866666666667,164.99,,,25193,25193,3b3ef069,2,0.006666666666666667,penalized,45,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A070_rtr0.20_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1155.8966666666668,200.14,,,25193,25193,3b3ef069,2,0.01,penalized,50,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A070_rtr0.20_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1384.2066666666667,164.99,,,25193,25193,3b3ef069,2,0.006666666666666667,penalized,55,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A070_rtr0.20_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1526.1233333333332,164.99,,,25193,25193,3b3ef069,2,0.006666666666666667,penalized,60,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A070_rtr0.20_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
