algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,72c845c4,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A071_rtr0.20_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,345.75666666666666,164.99,,,25193,25193,72c845c4,2,0.006666666666666667,penalized,5,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A071_rtr0.20_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,281.19,164.99,,,25193,25193,72c845c4,2,0.006666666666666667,penalized,10,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A071_rtr0.20_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,433.48,164.99,,,25193,25193,72c845c4,2,0.006666666666666667,penalized,15,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A071_rtr0.20_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,260.24333333333334,164.99,,,25193,25193,72c845c4,2,0.006666666666666667,penalized,20,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A071_rtr0.20_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,219.22,164.99,,,25193,25193,72c845c4,2,0.006666666666666667,penalized,25,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A071_rtr0.20_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,284.6433333333333,164.99,,,25193,25193,72c845c4,2,0.006666666666666667,penalized,30,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A071_rtr0.20_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,549.0266666666666,243.38333333333333,,,25193,25193,72c845c4,2,0.01,penalized,35,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A071_rtr0.20_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,241.19333333333333,164.99,,,25193,25193,72c845c4,2,0.006666666666666667,penalized,40,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A071_rtr0.20_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,405.0833333333333,164.99,,,25193,25193,72c845c4,2,0.006666666666666667,penalized,45,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A071_rtr0.20_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,329.98333333333335,164.99,,,25193,25193,72c845c4,2,0.006666666666666667,penalized,50,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A071_rtr0.20_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,226.58,164.99,,,25193,25193,72c845c4,2,0.006666666666666667,penalized,55,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A071_rtr0.20_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
ga,323.7733333333333,164.99,,,25193,25193,72c845c4,2,0.006666666666666667,penalized,60,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A071_rtr0.20_pm0.35_prs0.40_init1.0_pc0.9,1,tournament,0.25,5
