algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,1115.5333333333333,992.6333333333333,,,24207,24207,27efc091,2,0.056666666666666664,penalized,0,24207,24207,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,387.73333333333335,298.71666666666664,,,24207,24207,27efc091,2,0.013333333333333334,penalized,5,24207,24207,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,161.38,161.38,,,24207,24207,27efc091,2,0.006666666666666667,penalized,10,24207,24207,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,453.5966666666667,405.28333333333336,,,24757,24757,27efc091,2,0.016666666666666666,penalized,15,24757,24757,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,9985.2,6641.52,,,25157,25157,27efc091,2,0.27,penalized,20,25157,25157,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,21319.71,17539.73,,,26796,26796,27efc091,2,0.68,penalized,25,26796,26796,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,24656.006666666668,22187.89,,,27547,27547,27efc091,2,0.8166666666666667,penalized,30,27547,27547,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,25642.08,23439.76,,,27995,27995,27efc091,2,0.8433333333333334,penalized,35,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26263.71,24915.55,,,27995,27995,27efc091,2,0.89,penalized,40,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26333.47333333333,25195.5,,,27995,27995,27efc091,2,0.9,penalized,45,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26147.943333333333,24915.55,,,27995,27995,27efc091,2,0.89,penalized,50,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26329.343333333334,25357.81333333333,,,27995,27995,27efc091,2,0.9066666666666666,penalized,55,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26635.18,25382.133333333335,,,27995,27995,27efc091,2,0.9066666666666666,penalized,60,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,27171.356666666667,26315.3,,,27995,27995,27efc091,2,0.94,penalized,65,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26432.496666666666,25288.816666666666,,,27995,27995,27efc091,2,0.9033333333333333,penalized,70,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26388.713333333333,24915.55,,,27995,27995,27efc091,2,0.89,penalized,75,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26950.833333333332,26035.35,,,27995,27995,27efc091,2,0.93,penalized,80,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26541.77666666667,25382.133333333335,,,27995,27995,27efc091,2,0.9066666666666666,penalized,85,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,26196.0,24980.243333333332,,,27995,27995,27efc091,2,0.8933333333333333,penalized,90,27995,27995,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A073_rtr0.35_pm0.10_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
