algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,295e73e2,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,8659.283333333333,7663.496666666667,,,26541,26541,295e73e2,2,0.31333333333333335,penalized,5,26541,26541,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,23831.87,20025.746666666666,,,27666,27666,295e73e2,2,0.74,penalized,10,27666,27666,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,23889.03,18579.04,,,28557,28557,295e73e2,2,0.6633333333333333,penalized,15,28557,28557,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,26848.43,23807.956666666665,,,29006,29006,295e73e2,2,0.8266666666666667,penalized,20,29006,29006,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27587.52666666667,25772.826666666668,,,29006,29006,295e73e2,2,0.89,penalized,25,29006,29006,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27448.22,25514.053333333333,,,29006,29006,295e73e2,2,0.88,penalized,30,29006,29006,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27809.12,26478.26,,,29006,29006,295e73e2,2,0.9133333333333333,penalized,35,29006,29006,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27460.503333333334,26008.713333333333,,,29006,29006,295e73e2,2,0.8966666666666666,penalized,40,29006,29006,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27485.226666666666,26008.713333333333,,,29006,29006,295e73e2,2,0.8966666666666666,penalized,45,29006,29006,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27833.056666666667,26685.52,,,29006,29006,295e73e2,2,0.92,penalized,50,29006,29006,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,28210.083333333332,27437.18,,,29006,29006,295e73e2,2,0.9466666666666667,penalized,55,29006,29006,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27702.933333333334,26285.03,,,29006,29006,295e73e2,2,0.9066666666666666,penalized,60,29006,29006,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27493.72333333333,25807.216666666667,,,29006,29006,295e73e2,2,0.89,penalized,65,29006,29006,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27432.926666666666,25870.02666666667,,,29006,29006,295e73e2,2,0.8933333333333333,penalized,70,29006,29006,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,27430.31,25912.02666666667,,,29006,29006,295e73e2,2,0.8933333333333333,penalized,75,29006,29006,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A074_rtr0.35_pm0.10_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
