algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,3957.556666666667,3570.616666666667,,,25425,25425,c491eb65,2,0.18,penalized,0,25425,25425,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,990.8833333333333,900.8333333333334,,,26070,26070,c491eb65,2,0.04,penalized,5,26070,26070,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,524.5833333333334,524.5833333333334,,,26395,26395,c491eb65,2,0.02,penalized,10,26395,26395,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,1606.3633333333332,1606.3633333333332,,,27130,27130,c491eb65,2,0.06,penalized,15,27130,27130,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,24133.386666666665,21155.143333333333,,,28303,28303,c491eb65,2,0.7733333333333333,penalized,20,28303,28303,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,24984.956666666665,19872.496666666666,,,29234,29234,c491eb65,2,0.6966666666666667,penalized,25,29234,29234,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,28089.74,26920.233333333334,,,29369,29369,c491eb65,2,0.9166666666666666,penalized,30,29369,29369,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,27632.676666666666,26221.93666666667,,,29369,29369,c491eb65,2,0.8933333333333333,penalized,35,29369,29369,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,28116.836666666666,27117.376666666667,,,29369,29369,c491eb65,2,0.9233333333333333,penalized,40,29369,29369,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,27374.97,25942.616666666665,,,29369,29369,c491eb65,2,0.8833333333333333,penalized,45,29369,29369,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,28023.356666666667,27103.08,,,29369,29369,c491eb65,2,0.9233333333333333,penalized,50,29369,29369,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,28057.366666666665,26813.953333333335,,,29369,29369,c491eb65,2,0.9133333333333333,penalized,55,29369,29369,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,27292.893333333333,25844.72,,,29369,29369,c491eb65,2,0.88,penalized,60,29369,29369,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,27904.356666666667,26921.583333333332,,,29369,29369,c491eb65,2,0.9166666666666666,penalized,65,29369,29369,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,28017.06,27019.48,,,29369,29369,c491eb65,2,0.92,penalized,70,29369,29369,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,27975.88,26823.68666666667,,,29369,29369,c491eb65,2,0.9133333333333333,penalized,75,29369,29369,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,27856.38,26627.893333333333,,,29369,29369,c491eb65,2,0.9066666666666666,penalized,80,29369,29369,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.35,strict,A075_rtr0.35_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
