algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,0071f8bf,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A076_rtr0.35_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1500.95,140.47666666666666,,,23714,23714,0071f8bf,2,0.006666666666666667,penalized,5,23714,23714,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A076_rtr0.35_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1990.5066666666667,79.04666666666667,,,23714,23714,0071f8bf,2,0.0033333333333333335,penalized,10,23714,23714,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A076_rtr0.35_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2640.2933333333335,158.77,,,23917,23917,0071f8bf,2,0.006666666666666667,penalized,15,23917,23917,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A076_rtr0.35_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1874.9433333333334,159.44666666666666,,,23917,23917,0071f8bf,2,0.006666666666666667,penalized,20,23917,23917,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A076_rtr0.35_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1950.66,159.44666666666666,,,23917,23917,0071f8bf,2,0.006666666666666667,penalized,25,23917,23917,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A076_rtr0.35_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2619.72,318.45666666666665,,,24086,24086,0071f8bf,2,0.013333333333333334,penalized,30,24086,24086,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A076_rtr0.35_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1540.6833333333334,160.01,,,24086,24086,0071f8bf,2,0.006666666666666667,penalized,35,24086,24086,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A076_rtr0.35_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1796.9033333333334,232.08,,,24086,24086,0071f8bf,2,0.01,penalized,40,24086,24086,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A076_rtr0.35_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2485.4,240.80666666666667,,,24086,24086,0071f8bf,2,0.01,penalized,45,24086,24086,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A076_rtr0.35_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
