algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,ecd7e265,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A077_rtr0.35_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,275.1566666666667,159.01,,,23989,23989,ecd7e265,2,0.006666666666666667,penalized,5,23989,23989,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A077_rtr0.35_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,476.39666666666665,238.97333333333333,,,23989,23989,ecd7e265,2,0.01,penalized,10,23989,23989,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A077_rtr0.35_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,318.24666666666667,240.30666666666667,,,24114,24114,ecd7e265,2,0.01,penalized,15,24114,24114,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A077_rtr0.35_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,230.97,160.34333333333333,,,24114,24114,ecd7e265,2,0.006666666666666667,penalized,20,24114,24114,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A077_rtr0.35_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,378.06,240.81666666666666,,,24142,24142,ecd7e265,2,0.01,penalized,25,24142,24142,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A077_rtr0.35_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,225.37,160.85333333333332,,,24142,24142,ecd7e265,2,0.006666666666666667,penalized,30,24142,24142,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A077_rtr0.35_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,336.14,160.85333333333332,,,24142,24142,ecd7e265,2,0.006666666666666667,penalized,35,24142,24142,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A077_rtr0.35_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,164.51,160.85333333333332,,,24142,24142,ecd7e265,2,0.006666666666666667,penalized,40,24142,24142,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A077_rtr0.35_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,184.44666666666666,160.94666666666666,,,24142,24142,ecd7e265,2,0.006666666666666667,penalized,45,24142,24142,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A077_rtr0.35_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,340.8666666666667,241.83666666666667,,,24267,24267,ecd7e265,2,0.01,penalized,50,24267,24267,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A077_rtr0.35_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,304.20666666666665,161.38,,,24267,24267,ecd7e265,2,0.006666666666666667,penalized,55,24267,24267,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A077_rtr0.35_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,196.19333333333333,161.38,,,24267,24267,ecd7e265,2,0.006666666666666667,penalized,60,24267,24267,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A077_rtr0.35_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,270.13666666666666,161.38,,,24267,24267,ecd7e265,2,0.006666666666666667,penalized,65,24267,24267,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A077_rtr0.35_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
