algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4257.903333333334,3776.3133333333335,,,23592,23592,73b080af,2,0.2,penalized,0,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A078_rtr0.35_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2264.633333333333,235.79333333333332,,,23592,23592,73b080af,2,0.01,penalized,5,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A078_rtr0.35_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,1671.4366666666667,313.46,,,23592,23592,73b080af,2,0.013333333333333334,penalized,10,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A078_rtr0.35_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2048.69,238.41333333333333,,,23992,23992,73b080af,2,0.01,penalized,15,23992,23992,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A078_rtr0.35_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2801.7433333333333,240.44333333333333,,,24195,24195,73b080af,2,0.01,penalized,20,24195,24195,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A078_rtr0.35_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2033.5933333333332,319.93333333333334,,,24195,24195,73b080af,2,0.013333333333333334,penalized,25,24195,24195,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A078_rtr0.35_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2116.7966666666666,161.28666666666666,,,24195,24195,73b080af,2,0.006666666666666667,penalized,30,24195,24195,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A078_rtr0.35_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2057.306666666667,161.28666666666666,,,24195,24195,73b080af,2,0.006666666666666667,penalized,35,24195,24195,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A078_rtr0.35_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2205.2266666666665,312.27,,,24195,24195,73b080af,2,0.013333333333333334,penalized,40,24195,24195,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A078_rtr0.35_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2337.12,321.99666666666667,,,24466,24466,73b080af,2,0.013333333333333334,penalized,45,24466,24466,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A078_rtr0.35_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2673.2,239.64333333333335,,,24466,24466,73b080af,2,0.01,penalized,50,24466,24466,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.35,strict,A078_rtr0.35_pm0.10_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
