algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4257.903333333334,3776.3133333333335,,,23592,23592,934535ad,2,0.2,penalized,0,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.35,strict,A082_rtr0.35_pm0.10_prs0.40_init1.0_pc0.7,2,tournament,0.25,5
ga,1296.87,156.09666666666666,,,23592,23592,934535ad,2,0.006666666666666667,penalized,5,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.35,strict,A082_rtr0.35_pm0.10_prs0.40_init1.0_pc0.7,2,tournament,0.25,5
ga,1093.5533333333333,156.09666666666666,,,23592,23592,934535ad,2,0.006666666666666667,penalized,10,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.35,strict,A082_rtr0.35_pm0.10_prs0.40_init1.0_pc0.7,2,tournament,0.25,5
ga,1645.7333333333333,156.09666666666666,,,23592,23592,934535ad,2,0.006666666666666667,penalized,15,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.35,strict,A082_rtr0.35_pm0.10_prs0.40_init1.0_pc0.7,2,tournament,0.25,5
ga,1333.9666666666667,232.11666666666667,,,23592,23592,934535ad,2,0.01,penalized,20,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.35,strict,A082_rtr0.35_pm0.10_prs0.40_init1.0_pc0.7,2,tournament,0.25,5
ga,1188.8033333333333,156.09666666666666,,,23592,23592,934535ad,2,0.006666666666666667,penalized,25,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.35,strict,A082_rtr0.35_pm0.10_prs0.40_init1.0_pc0.7,2,tournament,0.25,5
ga,1327.6866666666667,156.09666666666666,,,23592,23592,934535ad,2,0.006666666666666667,penalized,30,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.35,strict,A082_rtr0.35_pm0.10_prs0.40_init1.0_pc0.7,2,tournament,0.25,5
ga,1471.8333333333333,198.0,,,23592,23592,934535ad,2,0.01,penalized,35,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.35,strict,A082_rtr0.35_pm0.10_prs0.40_init1.0_pc0.7,2,tournament,0.25,5
ga,1597.63,156.09666666666666,,,23592,23592,934535ad,2,0.006666666666666667,penalized,40,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.35,strict,A082_rtr0.35_pm0.10_prs0.40_init1.0_pc0.7,2,tournament,0.25,5
ga,1207.7733333333333,156.09666666666666,,,23592,23592,934535ad,2,0.006666666666666667,penalized,45,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.35,strict,A082_rtr0.35_pm0.10_prs0.40_init1.0_pc0.7,2,tournament,0.25,5
ga,1323.37,199.46333333333334,,,23592,23592,934535ad,2,0.01,penalized,50,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.35,strict,A082_rtr0.35_pm0.10_prs0.40_init1.0_pc0.7,2,tournament,0.25,5
ga,1235.03,156.78666666666666,,,23592,23592,934535ad,2,0.006666666666666667,penalized,55,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.35,strict,A082_rtr0.35_pm0.10_prs0.40_init1.0_pc0.7,2,tournament,0.25,5
ga,2031.23,201.35333333333332,,,23592,23592,934535ad,2,0.01,penalized,60,23592,23592,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.35,strict,A082_rtr0.35_pm0.10_prs0.40_init1.0_pc0.7,2,tournament,0.25,5
