algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,1115.5333333333333,992.6333333333333,,,24207,24207,6e27624f,2,0.056666666666666664,penalized,0,24207,24207,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,4501.296666666667,2974.33,,,24782,24782,6e27624f,2,0.13333333333333333,penalized,5,24782,24782,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,20987.34,15782.61,,,26108,26108,6e27624f,2,0.6233333333333333,penalized,10,26108,26108,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,19949.566666666666,14583.566666666668,,,26921,26921,6e27624f,2,0.5566666666666666,penalized,15,26921,26921,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,21586.456666666665,16491.31333333333,,,27406,27406,6e27624f,2,0.6133333333333333,penalized,20,27406,27406,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24245.843333333334,20588.1,,,27995,27995,6e27624f,2,0.7466666666666667,penalized,25,27995,27995,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24629.873333333333,22022.733333333334,,,27995,27995,6e27624f,2,0.7866666666666666,penalized,30,27995,27995,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24114.433333333334,21525.93666666667,,,27995,27995,6e27624f,2,0.77,penalized,35,27995,27995,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24917.57,22760.576666666668,,,27995,27995,6e27624f,2,0.8133333333333334,penalized,40,27995,27995,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,25119.036666666667,22862.583333333332,,,27995,27995,6e27624f,2,0.8166666666666667,penalized,45,27995,27995,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24991.453333333335,22856.816666666666,,,27995,27995,6e27624f,2,0.8166666666666667,penalized,50,27995,27995,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24612.996666666666,22302.683333333334,,,27995,27995,6e27624f,2,0.7966666666666666,penalized,55,27995,27995,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24369.626666666667,21533.323333333334,,,27995,27995,6e27624f,2,0.77,penalized,60,27995,27995,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,25088.603333333333,22769.266666666666,,,27995,27995,6e27624f,2,0.8133333333333334,penalized,65,27995,27995,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24600.676666666666,22099.17,,,27995,27995,6e27624f,2,0.79,penalized,70,27995,27995,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24844.923333333332,22951.976666666666,,,27995,27995,6e27624f,2,0.82,penalized,75,27995,27995,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,25458.873333333333,23329.166666666668,,,27995,27995,6e27624f,2,0.8333333333333334,penalized,80,27995,27995,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24819.683333333334,22675.95,,,27995,27995,6e27624f,2,0.81,penalized,85,27995,27995,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A084_rtr0.35_pm0.20_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
