algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,c8ca4b93,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,6777.3,5323.51,,,26131,26131,c8ca4b93,2,0.21666666666666667,penalized,5,26131,26131,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,22848.39,18368.98,,,27567,27567,c8ca4b93,2,0.69,penalized,10,27567,27567,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,21817.13,15467.71,,,27926,27926,c8ca4b93,2,0.5633333333333334,penalized,15,27926,27926,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,24118.16,19434.006666666668,,,28382,28382,c8ca4b93,2,0.6966666666666667,penalized,20,28382,28382,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,24914.083333333332,21176.906666666666,,,28425,28425,c8ca4b93,2,0.7466666666666667,penalized,25,28425,28425,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,25302.293333333335,21540.283333333333,,,28725,28725,c8ca4b93,2,0.7566666666666667,penalized,30,28725,28725,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,26106.366666666665,23259.596666666668,,,28725,28725,c8ca4b93,2,0.81,penalized,35,28725,28725,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,25899.146666666667,23121.416666666668,,,28725,28725,c8ca4b93,2,0.8066666666666666,penalized,40,28725,28725,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,26770.9,24023.05,,,28725,28725,c8ca4b93,2,0.8366666666666667,penalized,45,28725,28725,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,26167.823333333334,23075.75,,,28725,28725,c8ca4b93,2,0.8033333333333333,penalized,50,28725,28725,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,26239.33,23527.46,,,28725,28725,c8ca4b93,2,0.82,penalized,55,28725,28725,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,25947.626666666667,23075.75,,,28725,28725,c8ca4b93,2,0.8033333333333333,penalized,60,28725,28725,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,26327.66,23521.993333333332,,,28725,28725,c8ca4b93,2,0.82,penalized,65,28725,28725,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,25788.676666666666,22654.31,,,28725,28725,c8ca4b93,2,0.79,penalized,70,28725,28725,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,25613.443333333333,22884.25,,,28725,28725,c8ca4b93,2,0.7966666666666666,penalized,75,28725,28725,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,25514.52666666667,22189.516666666666,,,28725,28725,c8ca4b93,2,0.7733333333333333,penalized,80,28725,28725,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
ga,26130.206666666665,23636.013333333332,,,28725,28725,c8ca4b93,2,0.8233333333333334,penalized,85,28725,28725,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A086_rtr0.35_pm0.20_prs0.00_init1.0_pc0.7,1,tournament,0.25,5
