algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,7daf424e,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,742.5766666666667,597.25,,,25814,25814,7daf424e,2,0.023333333333333334,penalized,5,25814,25814,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,975.7833333333333,414.81666666666666,,,26426,26426,7daf424e,2,0.016666666666666666,penalized,10,26426,26426,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,3999.1866666666665,1739.4333333333334,,,26726,26726,7daf424e,2,0.06666666666666667,penalized,15,26726,26726,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,22649.91,18090.16,,,27561,27561,7daf424e,2,0.6733333333333333,penalized,20,27561,27561,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,21837.196666666667,16301.043333333333,,,28647,28647,7daf424e,2,0.5866666666666667,penalized,25,28647,28647,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,24619.25,20779.03,,,28706,28706,7daf424e,2,0.7266666666666667,penalized,30,28706,28706,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,25628.146666666667,22298.15,,,29006,29006,7daf424e,2,0.77,penalized,35,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,26524.03,23591.546666666665,,,29006,29006,7daf424e,2,0.8133333333333334,penalized,40,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,26361.076666666668,23451.593333333334,,,29006,29006,7daf424e,2,0.81,penalized,45,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,25860.606666666667,23168.43,,,29006,29006,7daf424e,2,0.8,penalized,50,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,25544.016666666666,22612.953333333335,,,29006,29006,7daf424e,2,0.78,penalized,55,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,26220.83,23875.486666666668,,,29006,29006,7daf424e,2,0.8233333333333334,penalized,60,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,25968.536666666667,22991.266666666666,,,29006,29006,7daf424e,2,0.7933333333333333,penalized,65,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,25958.716666666667,22787.72,,,29006,29006,7daf424e,2,0.7866666666666666,penalized,70,29006,29006,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.35,strict,A087_rtr0.35_pm0.20_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
