algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,788eb8c4,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A088_rtr0.35_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1110.57,228.08,,,24896,24896,788eb8c4,2,0.01,penalized,5,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A088_rtr0.35_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2301.5333333333333,165.97333333333333,,,24896,24896,788eb8c4,2,0.006666666666666667,penalized,10,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A088_rtr0.35_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2059.326666666667,315.8333333333333,,,24896,24896,788eb8c4,2,0.013333333333333334,penalized,15,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A088_rtr0.35_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1948.5833333333333,165.97333333333333,,,24896,24896,788eb8c4,2,0.006666666666666667,penalized,20,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A088_rtr0.35_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2427.693333333333,165.97333333333333,,,24896,24896,788eb8c4,2,0.006666666666666667,penalized,25,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A088_rtr0.35_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2013.0933333333332,165.97333333333333,,,24896,24896,788eb8c4,2,0.006666666666666667,penalized,30,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A088_rtr0.35_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2221.5233333333335,165.97333333333333,,,24896,24896,788eb8c4,2,0.006666666666666667,penalized,35,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A088_rtr0.35_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2708.42,165.97333333333333,,,24896,24896,788eb8c4,2,0.006666666666666667,penalized,40,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A088_rtr0.35_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2657.1966666666667,364.9266666666667,,,24896,24896,788eb8c4,2,0.016666666666666666,penalized,45,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A088_rtr0.35_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,2801.1666666666665,165.97333333333333,,,24896,24896,788eb8c4,2,0.006666666666666667,penalized,50,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A088_rtr0.35_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1836.9566666666667,329.51666666666665,,,24896,24896,788eb8c4,2,0.013333333333333334,penalized,55,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A088_rtr0.35_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
ga,1879.5566666666666,231.35666666666665,,,24896,24896,788eb8c4,2,0.01,penalized,60,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A088_rtr0.35_pm0.20_prs0.20_init0.2_pc0.7,1,tournament,0.25,5
